id,title,处方来源,别名,药物组成,功效,主治,用法用量,备注,处方来源书名,标准药物名称,symptom
18642,加味温胆汤,《金鉴》卷四十六。,,陈皮1钱，半夏（制）1钱，茯苓1钱，甘草（炙）5分，枳实1钱，竹茹1钱，黄芩1钱，黄连8分，麦冬2钱，芦根1钱。,,妊娠恶阻因于胃热者，呕吐，心中热烦愦闷，喜饮凉浆。体瘦恶阻多火者。,加生姜、大枣，水煎服。,,金鉴,陈皮、半夏、茯苓、甘草、枳实、竹茹、黄芩、黄连、麦冬、芦根,妊娠呕恶冲逆 干呕 心中热 烦愦 肌体羸瘦
18643,黄连煎,《金鉴》卷四十七。,,黄连。,,孕妇腹内有钟声，或婴儿在内啼哭。,上1味煎汤，调空房中鼠穴内土服。,,金鉴,黄连,腹内
18644,茹橘饮,《金鉴》卷四十七。,,竹茹3钱，橘红3钱，干柿1枚。,,产后呃逆，发热面红，小便赤色。,加生姜，水煎服。,,金鉴,竹茹、橘红、柿饼,产后 干呕 遍身壮热 小便短赤
18645,生化汤,《金鉴》卷四十七。,,当归、川芎、丹参、桃仁、红花、姜炭。,,产后瘀血，发热腹痛。,,,金鉴,当归、川芎、丹参、桃仁、红花、炮姜,产后滞血 遍身壮热 肚腹痛
18646,加味四物汤,《金鉴》卷四十七。,,四物汤加炮姜。,,产后阴血暴伤，阳无所附，而致发热。,,,金鉴,当归、川芎、白芍、熟地黄、炮姜,产后 阳无所附 遍身壮热
18647,加味八珍汤,《金鉴》卷四十七。,,八珍汤加丹皮、生地、钓藤钩。,,产后血去太多，阳气炽盛，筋无所养而致瘛疭抽搐，发热恶寒，心烦口渴。,,,金鉴,人参、白术、茯苓、当归、川芎、白芍、熟地黄、甘草、牡丹皮、鲜地黄、钩藤,产后 抽搐 遍身壮热 阴寒 心神多躁 口干
18648,加味八珍汤,《金鉴》卷四十七。,,八珍汤加钩藤、菖蒲、远志。,,产后不语，属气血两虚而郁冒神昏者。,,,金鉴,人参、白术、茯苓、当归、川芎、白芍、熟地黄、甘草、钩藤、水菖蒲、远志,产后 言语不得 气血 郁冒 神昏
18649,加味八珍汤,《金鉴》卷四十七。,,八珍汤加黄耆、附子、肉桂、防风。,,产后血气不足，脏腑皆虚多汗出，腠理不密，风邪乘虚袭中经络，头项、肩背强直，状如角弓反张。,,,金鉴,人参、白术、茯苓、当归、川芎、白芍、熟地黄、甘草、黄芪、附子、肉桂、防风,产后气血不足 血脏宿冷 有汗 风邪 背项强直 身如角弓反张
18664,麻黄四物汤,《金鉴》卷四十四。,,当归2钱，熟地2钱，白芍2钱，川芎2钱，麻黄1钱，桂枝1钱，杏仁20粒，甘草1钱。,调经。,妇人寒伤太阳荣分，发热无汗。,上加生姜、大枣，水煎服。,,金鉴,当归、熟地黄、白芍、川芎、麻黄、桂枝、杏仁、甘草,风感太阳 遍身壮热 无汗
18666,姜芩四物汤,《金鉴》卷四十四。,,当归、赤芍、熟地、川芎、姜黄、黄芩、丹皮、延胡索、香附（制）各等分。,,经水先期而至，血涩少，其色赤者，乃热盛滞血。,水煎服。,,金鉴,当归、赤芍、熟地黄、川芎、姜黄、黄芩、牡丹皮、延胡索、香附,月经先期 血涩少 色赤
18667,羌桂四物汤,《金鉴》卷四十四。,,四物汤加羌活、桂枝。,疏通经络。,血脉壅阻所致经行身痛而无表证者。,,,金鉴,当归、川芎、白芍、熟地黄、羌活、桂枝,身疼
18668,吴茱萸汤,《金鉴》卷四十四。,,当归2钱，肉桂2钱，吴茱萸2钱，丹皮2钱，半夏（制）2钱，麦冬2钱，防风1钱，细辛1钱，藁本1钱，干姜1钱，茯苓1钱，木香1钱，炙甘草1钱。,,妇人胞中不虚，惟受风寒为病，经行腹痛。,水煎服。,,金鉴,当归、肉桂、吴茱萸、牡丹皮、半夏、麦冬、防风、细辛、藁本、干姜、茯苓、木香、甘草,寒邪 经前腹痛
18669,芩术四物汤,《金鉴》卷四十四。,,四物汤加黄芩、白术。,,经水先期，血多因热者。肝木乘土，热而挟湿，经血过多。,,,金鉴,当归、川芎、白芍、熟地黄、黄芩、白术,月经先期 血多
18670,加味地骨皮饮,《金鉴》卷四十四。,,生地2钱，当归2钱，白芍2钱，川芎8分，牡丹皮3钱，地骨皮3钱，胡连1钱。,,妇女经来内热。,水煎服。,,金鉴,鲜地黄、当归、白芍、川芎、牡丹皮、地骨皮、胡黄连,内热
18673,涤痰汤,《金鉴》卷四十五。,,当归1两，茯苓4两，川芎7钱5分，白芍药1两，白术（土炒）1两，半夏（制）1两，香附米1两，陈皮1两，甘草1两。,,妇人肥盛，不孕，以身中有脂膜闭塞子宫也。,上作10帖。每帖加生姜3片，水煎，送服涤痰丸。,,金鉴,当归、茯苓、川芎、白芍、白术、半夏、香附、陈皮、甘草,肥盛 不育 痰闭子宫
18674,涤痰丸,《金鉴》卷四十五。,,白术（土炒）2两，半夏曲1两，川芎1两，香附米1两，神曲（炒）5钱，茯苓各5钱，橘红4钱，甘草2钱。,,妇人形肥盛，不孕，以身中有脂膜闭塞子宫。,每服80丸，以涤痰汤送下。,,金鉴,白术、半夏、川芎、香附、神曲、茯苓、橘红、甘草,形肥 不育 痰闭子宫
18675,当归散,《金鉴》卷四十五。,,当归、川芎、鳖甲、吴茱萸、桃仁、赤芍、肉桂、槟榔、青皮、木香、大黄、莲莪术。,,妇人疝病攻冲刺痛。,,,金鉴,当归、川芎、鳖甲、吴茱萸、桃仁、赤芍、肉桂、槟榔、青皮、木香、大黄、莪术,
18676,加味四物汤,《金鉴》卷四十五。,,四物汤加川附子、炮姜、官桂。,,寒湿带下，胞中冷痛。,,,金鉴,当归、川芎、白芍、熟地黄、附子、炮姜、桂花,寒湿带下 冷痛
18677,万安丸,《金鉴》卷四十五。,,牵牛（头末）、胡椒、木香、小茴香（焙）各等分。,,带下。,量虚实服。,,金鉴,胡椒、木香、小茴香,带下
18689,黄连二陈汤,《金鉴》卷五十。,,半夏（姜制）、陈皮、茯苓、生甘草、黄连（姜炒）。,,小儿胎前受热，面黄赤，手足温，口吐黄涎酸粘者。,引用生姜，水煎服。,,金鉴,半夏、陈皮、茯苓、甘草、黄连,面无色
18692,香苏饮,《金鉴》卷五十。,,藿香、苏叶、厚朴（姜炒）、陈皮、枳壳（麸炒）、茯苓、木香（煨）、炙甘草。,温散。,婴儿生育时触冒寒邪，入里犯胃，曲腰而啼，吐沫不止者。,引用生姜，水煎服。,,金鉴,藿香、紫苏叶、厚朴、陈皮、枳壳、茯苓、木香、甘草,寒邪 不止
18695,匀气散,《金鉴》卷五十。,,陈皮1钱，桔梗1钱，炮姜5分，砂仁5分，炙甘草5分，木香3分。,,儿母过食寒凉，胎受其气，小儿腹痛多啼，面色青白，不乳。,每服5分，红枣煎汤调服。,,金鉴,陈皮、桔梗、炮姜、砂仁、甘草、木香,肚腹痛 面色苍白
18756,四物解毒汤,《金鉴》卷五十九。,,当归、白芍（酒炒）、生地、元参、栀子（炒）、川芎、生甘草、黄连（酒炒）、黄柏（酒炒）、黄芩（酒炒）。,,女子出痘，或遇经行，过期不止，乃毒热乘入血室。,水煎服。,,金鉴,当归、白芍、鲜地黄、玄参、栀子、川芎、甘草、黄连、黄柏、黄芩,出痘 过期不止
18792,加味泻白散,《金鉴》卷五十三。,,桑皮（蜜炙）、地骨皮、甘草（生）、川贝母（去心，研）、麦冬（去心）、知母（生）、桔梗、黄芩、薄荷。,,火嗽，面赤咽干燥，痰黄气秽带粘稠，便软。,水煎服。,,金鉴,桑皮、地骨皮、甘草、川贝母、麦冬、知母、桔梗、黄芩、薄荷,面色发红 口干 腥秽
18817,加味救肺散,《金鉴》卷五十五。,,麦冬（去心）、人参、黄耆（炙）、郁金、五味子、当归（酒洗）、白芍药（酒炒）、川贝母（去心，研）、甘草（炙）、马兜铃。,,小儿劳伤，无热咳嗽，痰中带血。,水煎服。,,金鉴,麦冬、人参、黄芪、郁金、五味子、当归、白芍、川贝母、甘草、马兜铃,冲任不固 咳嗽 咯痰带血
18824,蒋氏化毒丹,《金鉴》卷五十一。,,犀角1两，黄连1两，桔梗1两，玄参1两，薄荷叶1两，甘草（生）1两，大黄（生）1两，青黛5钱。,,胎赤，因孕妇过食辛热之物，以致毒热凝结，蕴于胞中，致小儿生下头面、肢体赤若丹涂，热盛便秘者。,每服1丸，灯心汤化服。,,金鉴,犀角、黄连、桔梗、玄参、荷叶、甘草、大黄、青黛,大便结燥
18828,清热解毒汤,《金鉴》卷五十一。,,生地、黄连、金银花、薄荷叶、连翘（去心）、赤芍、木通、甘草（生）。,,胎赤。胎中受热毒，生后遍体若丹涂。,引用灯心，水煎服。,,金鉴,鲜地黄、黄连、金银花、荷叶、连翘、赤芍、木通、甘草,热毒
18832,清胃散,《金鉴》卷五十一。,,生地、丹皮、黄连、当归、升麻、石膏（煅）。,,小儿胎热，蓄于胃中，牙根肿如水泡，名曰重龈。小儿麻时口臭。,引用灯心，水煎服。将水泡用针刺破，外敷1字散，内服清胃散。,,金鉴,鲜地黄、牡丹皮、黄连、当归、升麻、石膏,胎热 口臭
18836,换肌消毒散,《金鉴》卷五十一。,,当归、生地黄、赤芍药、川芎、皂刺、土茯苓、金银花、连翘（去心）、甘草（生），白芷、苦参、白鲜皮、防风。,,父母素有杨梅结毒，传染胞胎，致生下婴儿上半身赤烂，或下半身赤烂，甚至色带紫黑者。,灯心为引，水煎服。外用清凉膏或鹅黄散敷之。,,金鉴,当归、鲜地黄、赤芍、川芎、皂荚、土茯苓、金银花、连翘、甘草、白芷、苦参、白鲜皮、防风,结毒
18842,生地黄汤,《金鉴》卷五十一。,,生地黄、赤芍药、川芎、当归、天花粉、赤茯苓、泽泻、猪苓、甘草（生）、茵陈蒿。,渗湿清热。,胎黄轻证。,引用灯心，水煎，食前服。,,金鉴,鲜地黄、赤芍、川芎、当归、天花粉、赤茯苓、泽泻、猪苓、甘草、劲直蒿,
18846,椿树根丸,《金匮钩玄》卷一。,,青黛、海石、黄柏。,,梦遗；带下。,,本方名椿树根丸，但方中无椿树根，疑脱。,金匮钩玄,青黛、海浮石、黄柏,带下
18863,桂枝加龙骨牡蛎汤,《金匮》卷上。,桂枝龙骨牡蛎汤、龙骨汤、桂枝牡蛎汤、龙骨牡蛎汤,桂枝3两，芍药3两，生姜3两，甘草2两，大枣12枚，龙骨3两，牡蛎3两。,调阴阳，和营卫，兼固涩精液。燮理阴阳，交通心肾。,男子失精，女子梦交，自汗盗汗，遗尿。少腹弦急，阴头寒，目眩（一作目眶痛），发落，脉极虚芤迟，为清谷亡血，脉得诸芤动微紧。心悸多梦，不耐寒热，舌淡苔薄，脉来无力者。,以水7升，煮取3升，分3次温服。,桂枝龙骨牡蛎汤（原书同卷）、龙骨汤（《外台》卷十六引《小品方》）、桂枝牡蛎汤（《圣济总录》卷九十一）、龙骨牡蛎汤（《广嗣纪要》卷二）。,金匮,桂枝、红药子、生姜、甘草、大枣、龙骨、牡蛎,梦交 自汗 盗汗 淋沥不断 弦急 头目眩晕 鬓发落 心神惊悸 多梦 寒热 舌质淡 苔薄 无力
18875,苦参汤,《金匮》卷上。,,苦参。,,狐惑病，蚀于下部，咽干。阴肿、阴痒、疥癞。,,《兰台规范》本方用苦参一升，水一斗，煎取七升，去滓，熏洗，一日三次。,金匮,苦参,口干 阴肿 阴痒 干湿疥癣
18888,当归生姜羊肉汤,《金匮》卷上。,小羊肉汤、当归汤,当归3两，生姜5两，羊肉1斤。,温中补血，祛寒止痛。,寒疝腹中痛及胁痛里急者；产后腹中（？？）痛，腹中寒疝，虚劳不足。,以水8升，煮取3升，温服7合，日3服。如加生姜等者，亦加水5升，煮取3升2合服之。,小羊肉汤（《千金》卷三（注文）引《胡洽方》）、当归汤（《圣济总录》卷九十四）。本方方名，《东医宝鉴·外形篇》引作“羊肉汤”。,金匮,当归、生姜、羊肉,寒疝 腹内痛 胁痛 里急 产后 虚劳
18903,大黄(庶虫)虫丸,《金匮》卷上。,妇科大黄(庶虫)虫丸,大黄10分（蒸），黄芩2两，甘草2两，桃仁1升，杏仁1升，芍药4两，干地黄10两，干漆1两，虻虫1升，水蛭100个，蛴螬1升，(庶虫)虫半升。,活血化瘀，通经消症。缓中补虚。攻热下血。活血破瘀，通经消痞。,瘀血内停，腹部肿块，肌肤甲错，形体羸瘦，目眶黯黑，潮热，食欲不振；妇人瘀血经闭不行。五劳虚极，羸瘦腹满，不能饮食；食伤、忧伤、饮伤、房室伤、饥伤、劳伤、经络营卫气伤，内有干血，肌肤甲错，两目黯黑。妇人经水不利，渐为心腹胀满，烦热咳嗽，面色煤黄，肌肤干皮细起，状如麸片，目中昙暗，或赤涩羞明怕日者；小儿疳眼，生云翳，脸烂羞明，不能视物，并治雀目。早期肝硬化。,每服5丸，酒送下，1日3次。,妇科大黄(庶虫)虫丸（《饲鹤亭集方》）。,金匮,大黄、黄芩、甘草、桃仁、杏仁、红药子、干地黄、干漆、虻虫、水蛭、蛴螬、蟅虫,瘀血 肿块 肌肤甲错 肌体羸瘦 目眶黯黑 潮热 饮食不下 月经不通 五劳 膨胀腹满 饮食不下 食伤 冲任不固 干血 月经不通 心腹胀满 烦热 咳嗽 面色苍黄 皮肤干燥 羞明 小儿疳 翳膜 脸烂 视物不明 雀目 肝硬化
18909,肾气丸,《金匮》卷下。,八味肾气丸、地黄丸、八仙丸、补肾八味丸、八味地黄丸、附子八味丸、金匮肾气丸、桂附八味丸、桂附地黄丸、附桂八味丸、桂附八味地黄丸,干地黄8两，薯蓣4两，山茱萸4两，泽泻3两，茯苓3两，牡丹皮3两，桂枝1两，附子（炮）1两。,温补肾阳，引火归源，阴阳双补。暖肾脏，补虚损，益颜色，壮筋骨。补老人元脏虚弱，腑气不顺，固精髓。久服壮元阳，活血驻颜，强志轻身。,肾阳不足，腰痛脚软，下半身常有冷感，少腹拘急，小便不利或小便反多，舌质淡胖，脉虚弱尺部沉细，以及痰饮咳喘、水肿脚气、消渴、转胞、久泄、阴疽等属肾中阳气虚衰者。虚劳腰痛，或短气有微饮，或男子消渴，以饮一斗，小便一斗，及妇人病饮食如故，烦热不得卧，而反倚息者，此名转胞，以胞系了戾，故致此病。脚气上入少腹，少腹不仁。虚劳不足，大伤饮水，小腹急，肾气虚乏，下元冷惫，脐腹疼痛，夜多漩溺，脚膝缓弱，肢体倦怠，面色黧黑，不思饮食。肾气内夺，舌喑足废。冷证齿痛。命门火衰，不能生土，以致脾胃虚寒，大便不实。禀气虚，骨弱，7-8岁不能行立。肾水不能摄养，及脾虚不能克制肾水，多吐痰唾而不咳。两尺脉微弱，阴阳俱虚。肾虚不能摄水，津液不降，致成痰饮，咳逆，潮热，盗汗。脾肾虚寒，土不生金，肺金亏损，肺气虚不能摄血，面色萎黄，时或咳嗽见血，脉多空大无力。脾肾两败，水溢于外，土困于中而成水肿，或阳虚小便不通。肾脏真阳不足，火不归元。百会疽漫肿平塌，紫暗坚硬，面赤而烦，口干不渴，唇润，属阳虚浮泛者，及颊疡牙关紧急不开或旁肿不消，脓水清稀，因而成漏，复被寒侵疮孔，致生多骨，经年缠绵难愈者。,每服15丸，加至25丸，酒送下，每日2次。,八味肾气丸（原书卷下）、地黄丸（《圣惠》卷九十八）、八仙丸（《养老奉亲》）、补肾八味丸（《圣济总录》卷五十一）、八味地黄丸（《小儿痘疹方论》）、附子八味丸（《证治要决类方》卷四）、金匮肾气丸（《赤水玄珠》卷七）、桂附八味丸（《简明医彀》卷四）、桂附地黄丸（《简明医彀》卷八）、附桂八味丸（《医方论》）、桂附八味地黄丸（《胎产心法》卷一）。本方方名，《崔氏方》引作“八味九”（见《外台》）：改为汤剂，名“肾气汤”（见《普济方》）、“八味地黄汤”（见《辨证录》）“八味饮”（见《西塘感证》、“加味地黄汤”、“桂附地黄汤”（见《金鉴》）、“八味汤”（见《杂症会心录》）、“阳八味汤”（见《医门补要》）、“桂附八味汤”（见《喉科种福》）。,金匮,干地黄、山药、山茱萸、泽泻、茯苓、牡丹皮、桂枝、附子,腰痛 大小便不通 舌质淡 脉弦虚 痰饮 咳喘 水肿 风湿脚气 消渴 阴疽 虚衰 虚劳 短气 烦热 小腹急疼 元气虚惫 腹中疼痛 夜寐不安 肢体怠情 面目青黑 饮食不下 齿痛 脾胃虚寒 骨弱 吐痰 脉微 肾虚 咳逆 潮热 盗汗 肺气不足 不能摄血 面色黄青 咳嗽 无力 小便数日不通 面色发红 口干 口不渴 虚浮 牙关紧闭
18911,葵子茯苓散,《金匮》卷下。,茯苓散、茯苓汤、葵子散、葵苓散、葵茯汤,葵子1斤，茯苓3两。,通窍利水。,妊娠有水气，身重，小便不利。洒淅恶寒，起则头眩。,每服方寸匕，饮调下，1日3次。小便利则愈。,茯苓散（《圣济总录》卷一五七）、茯苓汤（《鸡峰》卷十六）、葵子散（《宣明论》卷十五）、葵苓散（《女科指掌》卷三）、葵茯汤（《产科心法》上集）。,金匮,冬葵子、茯苓,妊娠 举体沉重 大小便不通 阴寒 眩晕
18912,温经汤,《金匮》卷下。,调经散、大温经汤、小温经汤,吴茱萸3两，当归2两，芎?2两，芍药2两，人参2两，桂枝2两，阿胶2两，生姜2两，牡丹皮（去心）2两，甘草2两，半夏半斤，麦冬1升（去心）。,,妇人年五十所，病下利数10日不止，暮即发热，少腹里急，腹满，手掌烦热，唇口干燥。此病属带下，瘀血在少腹不去。,上以水1斗，煮取3升，分温3服。,调经散（《直指·附遗》卷二十六）、大温经汤（《丹溪心法附余》卷二十）、小温经汤（《血证论》卷八）。,金匮,吴茱萸、当归、川芎、红药子、人参、桂枝、阿胶、生姜、牡丹皮、甘草、半夏、麦冬,湿气下利 不止 遍身壮热 里急 膨胀腹满 烦热 口干 带下 瘀血
18914,蛇床子散,《金匮》卷下。,,蛇床子仁。,温阴中。,妇人阴寒。,加白粉少许，和合相得，如大枣大，绵裹纳之。自然温。,,金匮,蛇床子,阴寒
18916,狼牙汤,《金匮》卷下。,,狼牙3两。,,少阴脉滑而数，阴中蚀疮烂者。妇人阴中蚀疮烂溃，脓水淋漓臭秽。,以水4升，煮取半升，以绵缠箸如茧，浸汤沥阴中，每日4次。,,金匮,海鳗,脉滑 脓水淋漓
18917,桂枝茯苓丸,《金匮》卷下。,夺命丸、牡丹丸、夺命丹、仙传保命丹、安禳丸,桂枝、茯苓、牡丹（去心）、桃仁（去皮尖，熬）、芍药各等分。,下其癥。化瘀生新，调和气血。,妇人宿有癥病，经断未及3月，而得漏下不止，胎动在脐上者，为癥痼害。妇人小产，下血至多，子死腹中，其人憎寒，手指、唇口、爪甲青白、面色黄黑，或胎上抢心，则闷绝欲死，冷汗自出，喘满不食，或食毒物，或误服草药，伤胎动气。,每日1丸，食前服。不知，加至3丸。,夺命丸（《妇人良方》卷十二）、牡丹丸、夺命丹（《普济方》卷三五七）、仙传保命丹、安禳丸（《胎产心法》卷中）。本方方名，《张氏医通》引作“桂心茯苓丸”。,金匮,桂枝、茯苓、银箔、桃仁、红药子,漏血不止 胎动在脐上 流产 月经过多 死胎 畏寒 面色黄青 闷绝欲死 冷汗 喘促 饮食不下 伤胎
18918,枳实芍药散,《金匮》卷下。,,枳实（烧黑，勿大过）、芍药各等分。,调和气血之滞。,产后腹痛，烦满不得卧；痈脓。,每服方寸匕，1日3次，以麦粥送下。,,金匮,枳实、红药子,产后 肚腹痛 烦满 痈
18919,矾石丸,《金匮》卷下。,矾石兑丸,矾石3分（烧），杏仁1分。,,妇人经水闭不利，脏坚癖不止，中有干血，下白物。,纳脏中，剧者再纳之。,,金匮,白矾、杏仁,月经不通 结生瘕聚 不止 干血
18921,红蓝花酒,《金匮》卷下。,,红蓝花1两。,破血通经。,妇人62种风，及腹中血气刺痛；痎疟。,以酒1大升，煎减半，顿服一半；未止，再服。,,金匮,红花,腹中积血 腹刺痛 疟
18922,竹皮大丸,《金匮》卷下。,,生竹茹2分，石膏2分，桂枝1分，甘草7分，白薇1分。,安中益气。,妇人乳中虚，烦乱呕逆。,每服1丸，以饮送下，日3次夜2次。,,金匮,竹茹、石膏、桂枝、甘草、白薇,烦乱 干呕
18923,芎归胶艾汤,《金匮》卷下。,胶艾汤、当归散、胶艾四物汤、阿胶蕲艾汤、艾叶地黄汤,芎?2两，阿胶2两，甘草2两，艾叶3两，当归3两，芍药4两，干地黄4两。,保血安胎，补血调经，安胎止痛。,妇人冲任虚损，崩中漏下，月水过多，淋沥不止，或半产后下血不绝，或妊娠下血，腹中疼痛者；或劳伤胞络，胞阻漏血，腰痛闷乱；或因损动，胎上抢心，奔动短气；及因产乳，冲任气虚，不能约制，经血淋沥不断，延引日月，渐成羸瘦。,以水5升，清酒3升，合煮取3升．去滓，纳胶令消尽，温服1升，日3次。不愈更作。,胶艾汤（《金匮》卷下）、当归散（《普济方》卷三四二）、胶艾四物汤（《医学入门》卷八、阿胶蕲艾汤（《明医指掌》卷九）、艾叶地黄汤（《产孕集》卷上）。方中干地黄用量原缺，据《千金》补。,金匮,川芎、阿胶、甘草、艾叶、当归、红药子、干地黄,冲任不固 崩中漏下 月经过多 淋沥不断 产后 月经过多 妊娠 月经过多 腹中疼痛 冲任不固 漏血不止 腰痛 闷乱 短气 下元不固 月经过多 渐渐羸瘦
18925,当归散,《金匮》卷下。,芍药汤,当归1斤，黄芩1斤，芍药1斤，芎?1斤，白术半斤。,养血清热安胎，快利恶露。,孕妇血少有热，胎动不安，素有堕胎之患；月经不调，腰腹疼痛。,每服方寸匕，酒饮调下，日2次。,芍药汤（《永类钤方》卷十八）。本方改为丸剂，名“安胎丸”（见《回春》）、“五味安胎丸”（见《东医宝鉴·杂病篇》）。《鸡峰》本方用法：用温童便或酒调下二钱。,金匮,当归、黄芩、红药子、川芎、白术,血下少 动胎 堕胎 月经不调 心腹疼痛
18926,当归芍药散,《金匮》卷下。,当归芍药汤、当归茯苓散,当归3两，芍药1斤，茯苓4两，白术4两，泽泻半斤，芎?半斤（1作3两）。,养血调肝，健脾利湿。,妇人妊娠或经期，肝脾两虚，腹中拘急，绵绵作痛，头晕心悸，或下肢浮肿，小便不利，舌质淡、苔白腻者。现用于纠正胎位。,每服方寸匕，酒和服，日3次。,当归芍药汤（《济生》卷九）、当归茯苓散（《普济方》卷三三九）。本方改为丸剂，名“六气经纬丸”（见《元和纪用经》）。改为片剂，名“当归芍药片”（见《重庆市中药成方制剂标准》）。,金匮,当归、红药子、茯苓、白术、泽泻、川芎,妊娠 小腹急疼 作痛 眩晕 心神惊悸 浮肿 大小便不通 舌质淡 苔白腻
18927,当归贝母苦参丸,《金匮》卷下。,苦参丸,当归4两，贝母4两，苦参4两。,,妇人妊娠，小便淋沥不爽，或溲时涩痛，尿色黄赤，心胸烦闷。亦治孕妇大便干燥，以及痔疮便秘，属大肠燥热者。,每服3丸，加至10丸。,苦参丸（《三因》卷十七）。本方方名，《医方类聚》引作“归母苦参丸”。,金匮,当归、川贝母、苦参,妊娠 小便淋露不止 涩 色黄 心胸噎闷 痔疮 大便结燥 肠燥
18928,竹叶汤,《金匮》卷下。,竹叶防风汤,竹叶1把，葛根3两，防风1两，桔梗1两，桂枝1两，人参1两，甘草1两，附子1枚（炮），大枣15个，生姜5两。,清太阳、阳明风热，温脾脏之虚寒。,产后中风，发热面正赤，喘而头痛。,以水1斗，煮取2升半，分3次温服。温覆使汗出。,竹叶防风汤（《活人书》卷十九）。,金匮,竹叶、葛根、防风、桔梗、桂枝、人参、甘草、附子、大枣、生姜,产后 中风 遍身壮热 头痛
18929,白头翁加甘草阿胶汤,《金匮》卷下。,白头翁汤、甘草汤,白头翁2两，甘草2两，阿胶2两，秦皮3两，黄连3两，柏皮3两。,,妇人产后下利虚极;热利下重，大便血，心烦不得眠者。,以水7升，煮取2升半，纳胶令消尽，分3次温服。,白头翁汤（《千金》卷三）、甘草汤（《千金翼》卷七）。,金匮,白头翁、甘草、阿胶、秦皮、黄连、柏根白皮,产后久痢 大便后下血 心神多躁
18931,白术散,《金匮》卷下。,芎藭散、芎椒白术散、安胎白术散,白术，芎藭，蜀椒3分（去汗），牡蛎。,"养胎,调补冲任，扶养胎气，壮气益血，保护胎脏。","妊娠脾虚，寒湿中阻，脘腹时痛，呕吐清涎，不思饮食，胎动不安，胎萎不长；室女带下,妊娠宿有风冷,胎萎不长；或失干将理，动伤胎气，多致损堕;妊娠脾虚寒湿中阻，每见脘腹时痛，呕吐清涎，不思饮食，甚至胎动不安。",每服1钱匕，酒下，日3次，夜1次。若呕，以醋浆水服之；复不解者，小麦汁服之；已后渴者，大麦粥服之，病虽愈，服之勿置。,芎藭散（《圣济总录》卷一五五）、芎椒白术散（《鸡峰》卷十六）、安胎白术散（《卫生宝鉴》卷十八）。方中白术、芎藭、牡蛎用量原缺。《外台》引《古今录验》本方用白术、芎藭各四分，蜀椒三分，牡蛎二分。,金匮,白术、川芎、蜀椒、牡蛎,妊娠 寒湿 干呕 饮食不下 动胎 带下 外感 胎气有伤
18933,半夏厚朴汤,《金匮》卷下。,厚朴汤、大七气汤、四七汤、厚朴半夏汤、七气汤、四七饮,半夏1升，厚朴3两，茯苓4两，生姜5两，干苏叶2两。,行气开郁，降逆化痰。,妇人咽中如有炙脔;喜、怒、悲、思，忧、恐、惊之气结成痰涎，状如破絮，或如梅核，在咽喉之间，咯不出，咽不下，此七气所为也;或中脘痞满，气不舒快，或痰涎壅盛，上气喘急，或因痰饮中结，呕逆恶心。,以水7升，煮取4升，分温4服，日3夜1服。,厚朴汤（《圣济总录》卷一二四）、大七气汤（《三因》卷八）、四七汤、厚朴半夏汤（《易简方》）、七气汤（《直指》卷五）、四七饮（《杏苑》卷四）。,金匮,半夏、厚朴、茯苓、生姜、紫苏叶,痰饮 脘痞 痰饮 壅盛 喘促 痰饮 干呕 恶心
18934,干姜人参半夏丸,《金匮》卷下。,,干姜1两，人参1两，半夏2两。,,妊娠呕吐不止。,饮服10丸，1日3次。,本方改为汤剂，名“干姜人参半夏汤”（见《产科发蒙》）。,金匮,干姜、人参、半夏,妊娠 干呕
18935,大黄甘遂汤,《金匮》卷下。,,大黄4两，甘遂2两，阿胶2两。,,妇人产后，水与血结于血室，少腹满如敦状；及男女膨胀、癃闭、淋毒，小腹满痛者。妇人少腹满如敦状，小便微难而不渴，生后者，此为水与血俱结在血室也。经水不调，男女癃闭，小腹满痛者；淋毒沉滞，梅淋小腹满痛不可忍，尿脓血者。膨胀，瘀血内阻，水气内停，腹大坚满，脉络怒张，胁腹攻痛，大便难，小便涩，口不渴，舌暗苔白者。,以水3升，煮取1升，顿服之。其血当下。,,金匮,大黄、甘遂、阿胶,产后 血结 少腹满如敦状 膨胀 癃闭 淋 小腹满痛 小便涩 口不渴 月经不调 淋毒沉滞 小便尿血 阻滞 水气内停 腹中坚满 脉络怒张 腹胁刺痛 大便结燥 小便涩 口不渴 舌质暗红 舌苔花白
18937,下瘀血汤,《金匮》卷下。,瘀血汤、大黄(庶虫)虫丸,大黄2两，桃仁20枚，(庶虫)虫20枚（熬，去足）。,,产妇腹痛，腹中有干血着脐下，经水不利。,以酒1升，煎1丸，取8合，顿服之。新血下如豚肝。,瘀血汤（《普济方》卷三五一）、大黄(庶虫)虫丸（《古方选注》卷中）。,金匮,大黄、桃仁、蟅虫,肚腹痛 腹中 干血 月经不通
