主治,功能团
"['月经过多', '吐血不止']",[]
"['妊娠', '死胎', '色赤', '舌质紫']",[]
"['妊娠', '月经过多']","[['妊娠', '月经过多']]"
"['月经不通', '脐腹']",[]
['难产'],[]
"['产后', '月经不调', '腹内痛', '脐腹冷痛']",[]
"['月经不通', '四肢烦疼', '心热']",[]
"['产后百损', '背项强直', '风邪', '牙关紧闭', '手足挛急', '脉细紧', '直视']","[['牙关紧闭', '手足挛急']]"
['难产'],[]
"['妊娠', '漏胞']",[]
"['饮食不下', '干呕', '肌体羸瘦', '头目眩晕', '阴寒', '妊娠呕恶冲逆', '多睡', '多睡', '汗出', '心中愦闷']","[['饮食不下', '头目眩晕'], ['饮食不下', '干呕'], ['干呕', '妊娠呕恶冲逆'], ['妊娠呕恶冲逆', '心中愦闷'], ['饮食不下', '肌体羸瘦'], ['妊娠呕恶冲逆', '多睡']]"
"['不止', '面色苍黄', '崩中五色', '淋沥连年']",[]
"['干呕', '寒热', '产后恶露不尽', '不调', '脐腹', '冷热']","[['干呕', '寒热'], ['不调', '冷热']]"
['产后气虚'],[]
"['饮食不下', '干呕', '寒热', '面目青黑', '毒气冲心', '产后血运', '血闷冲心']","[['饮食不下', '寒热'], ['饮食不下', '干呕'], ['干呕', '寒热'], ['饮食不下', '干呕', '寒热']]"
"['产后', '眩晕', '肌体羸瘦', '寒邪', '气短促', '自汗', '腹内', '往来寒热', '拘急疼痛']",[]
"['产后', '产后', '寒热', '动胎', '中风', '口干', '血崩', '胎衣不下', '心神惊悸', '烦躁', '恍惚', '神昏', '膨胀腹满', '四肢肿', '心腹胀满', '生疮', '烦渴', '身如角弓反张', '面色发红', '不睡', '牙关紧闭', '肿痛', '发狂', '米谷不化', '失音不语', '指甲青']","[['身如角弓反张', '牙关紧闭'], ['寒热', '口干'], ['身如角弓反张', '失音不语'], ['心神惊悸', '恍惚'], ['产后', '中风'], ['中风', '身如角弓反张'], ['产后', '寒热'], ['口干', '烦躁'], ['生疮', '肿痛']]"
"['产后', '血晕', '胎衣不下', '血块', '脐腹', '不定', '带下不止', '血迷']","[['产后', '血晕'], ['血晕', '胎衣不下']]"
"['妊娠', '咳嗽', '涕唾稠粘', '寒疝', '肺气不足']",[]
"['产后', '乳痈', '乳痈', '热痛']",[]
"['妊娠', '涩']",[]
"['饮食不下', '赤白带下', '腹中疼痛', '肢节无力', '面色黄青', '阴中冷', '胸中胀满', '经行无定期', '四肢痠痛', '久虚', '妊而数堕', '口淡无味', '下脏虚鸣']","[['肢节无力', '面色黄青'], ['饮食不下', '肢节无力'], ['赤白带下', '阴中冷']]"
"['面色黄青', '血溺', '食不生肌', '成淋', '小便痛而数']","[['成淋', '小便痛而数']]"
"['干呕', '眩晕', '肢节无力', '多睡', '少力', '心中愦闷']","[['干呕', '眩晕']]"
['难产'],[]
"['产后', '头痛', '头面肿满']","[['产后', '头痛']]"
"['妊娠', '动胎', '伤寒', '烦躁', '内热', '所下']","[['妊娠', '伤寒'], ['妊娠', '动胎']]"
['漏血不止'],[]
"['干呕', '遍身壮热', '口干', '腹中疼痛', '血晕', '恶露不下', '昏迷不省', '心神烦热', '畏寒', '凑心', '狂言', '肿满', '产后胞衣不下']","[['血晕', '昏迷不省'], ['遍身壮热', '口干'], ['凑心', '狂言']]"
['产前后诸疾'],[]
"['产后', '寒热', '烦愦', '面色发红', '狂言', '发渴']","[['产后', '寒热']]"
"['产后', '上攻', '血闷冲心']",[]
"['腹中', '气血虚弱', '不和']",[]
"['腹中', '妇人血气']",[]
"['妊娠', '漏血不止', '虚冷']",[]
"['饮食不下', '遍身壮热', '血风劳', '肢节无力', '精神不守', '面无色', '血块', '血刺']","[['饮食不下', '肢节无力']]"
"['月经不通', '血分']",[]
['月经过多'],[]
"['产后', '饮食不下', '干呕', '寒热', '动胎', '中风', '痢不止', '伤寒', '不育', '不育', '不止', '血风劳', '心神多躁', '恶露未尽', '腹中', '胎衣不下', '疮疥', '赤白痢', '破伤风', '气冲', '肠胃疼痛', '汗不出']","[['动胎', '不止'], ['产后', '饮食不下'], ['干呕', '痢不止'], ['饮食不下', '寒热'], ['饮食不下', '干呕'], ['产后', '恶露未尽'], ['产后', '中风'], ['干呕', '寒热'], ['产后', '寒热'], ['产后', '痢不止'], ['产后', '干呕'], ['产后', '饮食不下', '干呕'], ['饮食不下', '干呕', '寒热'], ['产后', '干呕', '痢不止'], ['产后', '饮食不下', '寒热'], ['产后', '干呕', '寒热'], ['产后', '饮食不下', '干呕', '寒热']]"
"['妊娠', '头目眩晕', '上攻']",[]
"['肚腹痛', '肚腹痛', '月经不通', '月经不通', '月经不通', '血结', '成块', '脉细紧', '寒疝', '积血', '肠胃疼痛', '血郁', '脐下有积块', '脐下如覆钵', '小腹胀满疼痛', '寒气客于血室']","[['脐下有积块', '脐下如覆钵']]"
['妊娠呕恶冲逆'],[]
"['饮食不下', '月经不通', '寒热', '腹刺痛', '不调', '手足不遂', '消瘦']","[['饮食不下', '月经不通'], ['月经不通', '寒热'], ['饮食不下', '寒热'], ['饮食不下', '月经不通', '寒热']]"
"['饮食不下', '赤白带下', '渐渐羸瘦', '四肢烦疼', '腹内痛']","[['饮食不下', '渐渐羸瘦'], ['渐渐羸瘦', '四肢烦疼']]"
"['月经不通', '渐渐羸瘦', '骨蒸潮热']",[]
"['血风劳', '身疼']","[['血风劳', '身疼']]"
"['渐渐羸瘦', '潮热', '阴虚', '气血虚弱', '脉微']",[]
"['干呕', '气逆', '血不止', '喉咽不利']",[]
"['肚腹痛', '上攻', '产后恶露不尽', '脐腹', '成块']",[]
"['妊娠', '肚腹痛']","[['妊娠', '肚腹痛']]"
"['妊娠', '饮食不下', '眩晕', '肢体怠情', '外感', '背项强直', '气血虚弱', '久虚', '客滞']","[['妊娠', '眩晕'], ['妊娠', '饮食不下']]"
"['肚腹痛', '痢不止', '痢不止', '产后百损', '外感']","[['肚腹痛', '痢不止']]"
"['产后', '败血']",[]
"['眩晕', '久不愈']",[]
['妊娠心痛'],[]
['血晕'],[]
"['伤寒', '霍乱', '昏迷不省', '冷气', '吐泻', '上攻', '四肢逆冷', '心闷', '伤冷', '元气将脱']","[['霍乱', '吐泻']]"
"['漏血不止', '下痢', '脓血', '阴户中寒']","[['下痢', '脓血']]"
"['赤白带下', '血崩', '结生瘕聚', '结生瘕聚', '疝气', '毒气冲心', '气痛', '九种心痛', '血冷']","[['赤白带下', '血崩']]"
"['风邪', '丹疹']",[]
"['崩中漏下', '痔漏']",[]
"['月经不调', '口干', '肌体羸瘦', '血风劳', '涩', '心神多躁', '渐渐羸瘦', '结生瘕聚', '生疮', '不睡', '毒气冲心', '少腹苦痛', '久不愈', '脾胃不和', '四肢沉重', '腹内积聚', '虚胀', '口吐清水']","[['口干', '心神多躁'], ['月经不调', '肌体羸瘦'], ['渐渐羸瘦', '结生瘕聚']]"
['崩中漏下'],[]
"['妊娠', '月经过多', '腹中疼痛', '不安']","[['妊娠', '月经过多']]"
['崩中漏下'],[]
"['疼痛', '血风劳', '不定']","[['疼痛', '血风劳']]"
"['月经过多', '血崩', '元气虚惫', '面色苍黄']","[['月经过多', '血崩']]"
"['产后', '饮食不下', '月经不调', '中风', '带下', '不育', '眩晕', '腹中疼痛', '崩中漏下', '恶露未尽', '肢体怠情', '口急', '恶露不下', '堕胎', '面无色', '恍惚', '四肢痠痛', '狂言', '心忪', '腰胯沉重', '久冷', '下元不固', '不乐', '憎寒发热']","[['月经不调', '眩晕'], ['带下', '不育'], ['带下', '崩中漏下'], ['产后', '饮食不下'], ['产后', '恶露未尽'], ['产后', '中风'], ['饮食不下', '月经不调'], ['月经不调', '不育'], ['带下', '眩晕'], ['月经不调', '带下'], ['腰胯沉重', '久冷'], ['中风', '口急'], ['月经不调', '带下', '眩晕'], ['月经不调', '带下', '不育']]"
"['饮食不下', '寒热', '口干', '面色黄青', '精神不守', '不调', '气短', '小便短赤', '心忪', '瘦弱', '眼涩', '劳疾']","[['寒热', '口干'], ['饮食不下', '寒热']]"
"['干呕', '寒热', '头痛', '赤白带下', '咳嗽', '伤寒', '难产', '血崩', '元气虚惫', '血晕', '恶心', '漏血不止', '瘀血', '不调', '血气风劳', '气冷']","[['寒热', '咳嗽'], ['寒热', '头痛'], ['干呕', '寒热'], ['咳嗽', '伤寒'], ['头痛', '伤寒'], ['赤白带下', '血崩'], ['难产', '血晕'], ['干呕', '头痛'], ['干呕', '恶心'], ['干呕', '寒热', '头痛']]"
"['饮食不下', '月经不调', '面无色', '血块', '腹内', '瘦弱', '传尸', '虚胀', '冷癖']","[['饮食不下', '月经不调'], ['虚胀', '冷癖']]"
"['月经不通', '气血', '头面肿满', '减食']",[]
"['血风劳', '痛无常处']",[]
['阴中冷'],[]
"['眩晕', '头目眩晕', '肢体怠情', '阴寒', '潮热', '不调', '咽膈不利', '手足烦倦', '拘急疼痛']","[['眩晕', '头目眩晕']]"
"['四肢肿', '肚腹膨胀', '血分', '肩背壅闷']","[['肚腹膨胀', '血分']]"
"['血崩', '烦渴']",[]
['诸血'],[]
['崩中漏下'],[]
"['产后', '产后气虚']",[]
"['带下', '内火暗动']",[]
"['产后', '言语謇涩', '妇人血气', '出血', '凑心', '血邪', '渴燥']",[]
"['不止', '丹疹', '搔痒', '遍身瘙痒']",[]
['血崩'],[]
"['饮食不下', '干呕', '眩晕', '血崩', '腹中疼痛', '恶心', '胸中胀满', '心腹多痛', '经行无定期', '虚冷', '肌黄形瘦', '带下不止', '腰腿痠疼', '出血', '两胁胀痛', '手足烦倦', '经水不匀', '鬓发落', '大寒', '血气虚', '冲任不足']","[['干呕', '眩晕'], ['饮食不下', '干呕'], ['血气虚', '冲任不足'], ['干呕', '恶心']]"
"['赤白带下', '肢节无力', '面色黄青', '腰腿疼痛', '久虚']","[['肢节无力', '面色黄青']]"
"['产后', '妊娠', '寒热', '赤白带下', '疼痛', '眩晕', '难产', '气血', '外感', '冲任不固', '惊悸', '腹胁刺痛', '烦倦']","[['妊娠', '眩晕'], ['气血', '冲任不固'], ['产后', '寒热']]"
"['大小便不通', '四肢烦疼', '腹刺痛', '冷气', '经行无定期', '两胁胀痛']",[]
"['产后', '饮食不下', '干呕', '寒热', '咳嗽', '口干', '眩晕', '肌体羸瘦', '肢节无力', '痰饮', '胸中胀满', '心神惊悸', '虚劳', '精神不守', '胸膈', '上攻', '口苦', '眼昏', '短气', '心忪', '发歇', '肺气喘', '脏腑不调']","[['寒热', '咳嗽'], ['寒热', '口干'], ['饮食不下', '肢节无力'], ['口干', '口苦'], ['寒热', '肌体羸瘦'], ['产后', '饮食不下'], ['饮食不下', '寒热'], ['干呕', '眩晕'], ['饮食不下', '干呕'], ['干呕', '寒热'], ['产后', '寒热'], ['饮食不下', '肌体羸瘦'], ['咳嗽', '口干'], ['产后', '干呕'], ['产后', '饮食不下', '干呕'], ['饮食不下', '干呕', '寒热'], ['饮食不下', '寒热', '肌体羸瘦'], ['产后', '饮食不下', '寒热'], ['产后', '干呕', '寒热'], ['寒热', '咳嗽', '口干'], ['产后', '饮食不下', '干呕', '寒热']]"
"['肚腹痛', '元气虚惫', '下元不固', '气冷', '荣卫不调']",[]
"['饮食不下', '头目眩晕', '血风劳', '不调', '咽膈不利', '手足烦倦', '拘急疼痛']","[['头目眩晕', '血风劳'], ['饮食不下', '头目眩晕']]"
"['中风', '带下', '面无色', '虚冷', '诸风瘫痪']",[]
"['饮食不下', '血亏', '产后百损', '多倦', '盗汗', '吐血不止', '骨蒸潮热', '恍惚', '痞积', '肌黄形瘦', '伤损经络', '失色', '飞尸', '色黄']","[['产后百损', '恍惚']]"
"['遍身壮热', '口干', '风湿脚气']","[['遍身壮热', '口干']]"
"['干呕', '口干', '伤寒', '疟', '肢体怠情', '霍乱', '虚劳', '不安', '烦热', '骨蒸潮热', '少力', '气弱', '气刺', '燥渴']","[['虚劳', '骨蒸潮热']]"
"['饮食不下', '干呕', '肚腹痛', '遍身壮热', '寒热', '头痛', '伤寒', '言语謇涩', '四肢烦疼', '背项强直', '寒热如疟', '热入血室', '经水忽来忽断', '妄言', '哕逆', '胁下牢满']","[['干呕', '肚腹痛'], ['肚腹痛', '遍身壮热'], ['遍身壮热', '头痛'], ['寒热', '头痛'], ['遍身壮热', '伤寒'], ['饮食不下', '寒热'], ['饮食不下', '干呕'], ['热入血室', '经水忽来忽断'], ['干呕', '寒热'], ['头痛', '伤寒'], ['干呕', '头痛'], ['饮食不下', '干呕', '寒热'], ['干呕', '寒热', '头痛'], ['遍身壮热', '头痛', '伤寒']]"
"['寒热', '言语謇涩', '产后恶露不尽', '热入血室']",[]
"['难产', '堕胎']",[]
['痰盛'],[]
"['妊娠', '头痛', '不安', '脚弱']","[['妊娠', '头痛']]"
"['月经不调', '肌体羸瘦', '无力', '经前腹痛', '气血两亏']","[['月经不调', '肌体羸瘦']]"
"['带下', '阴痒', '湿热下注']",[]
"['产后', '月经不通', '不乳出', '血气不足']",[]
"['肚腹痛', '动胎', '月经过多', '胎漏', '流产', '堕胎']","[['肚腹痛', '动胎'], ['肚腹痛', '月经过多'], ['月经过多', '胎漏'], ['动胎', '月经过多'], ['肚腹痛', '动胎', '月经过多']]"
['月经不调'],[]
['惊热'],[]
"['痛痒', '阴挺']",[]
"['乳痈', '乳痈']",[]
"['四肢急掣', '痈', '疮疥', '瘰疬', '痘疮', '凝滞', '痰气', '闪肭', '跌仆']","[['痈', '疮疥'], ['痘疮', '凝滞'], ['疮疥', '瘰疬'], ['痈', '瘰疬'], ['痈', '疮疥', '瘰疬']]"
"['流产', '精滑']",[]
['月经不调'],[]
['心疼'],[]
"['产后', '诸虚百损']",[]
"['产后', '月经不通', '不育', '崩中漏下', '诸虚百损']",[]
['产后'],[]
['臁疮'],[]
['胃脘胀痛'],[]
"['产后', '产后', '动胎', '中风', '伤寒', '血晕', '死胎']","[['产后', '血晕'], ['产后', '中风'], ['血晕', '死胎']]"
"['肚腹痛', '咳嗽', '吐泻', '感冒', '惊胎', '小儿惊痫']",[]
['热气上冲'],[]
"['产后', '月经不调', '血风劳']",[]
"['痒痛', '风肿']",[]
"['饮食不下', '干呕', '心腹胀', '产后滞血']","[['饮食不下', '干呕']]"
"['产后', '血气冲心痛', '上攻']",[]
"['咳嗽', '喘促', '潮热', '七情内伤', '咯痰带血', '诸虚百损', '虚火', '声哑', '妄动']","[['咳嗽', '喘促']]"
"['干呕', '脾胃虚弱', '翻胃']",[]
"['妊娠', '大小便不通']",[]
"['渐渐羸瘦', '面色苍黄', '攻刺', '血瘕', '腹中结块']",[]
"['月经不通', '寒热', '腹中疼痛', '瘀血', '血瘕']","[['月经不通', '寒热']]"
"['血崩', '冲任不固']",[]
"['手足搐搦', '闭断不通']",[]
"['肚腹痛', '赤白带下', '渐渐羸瘦', '腰痛', '面色苍黄', '冷热', '腿疼']",[]
"['不育', '眩晕', '血衰', '气盛', '气盛', '膈满']","[['血衰', '气盛']]"
"['饮食不下', '腹中疼痛', '渐渐羸瘦', '四肢烦疼', '赤白不止']","[['饮食不下', '渐渐羸瘦'], ['渐渐羸瘦', '四肢烦疼']]"
"['肚腹痛', '月经不调', '疼痛', '攻刺', '搐搦']","[['肚腹痛', '月经不调']]"
['搐搦'],[]
"['血崩', '崩中漏下', '淋沥不断']",[]
"['月经不通', '血瘕', '血蛊']",[]
"['月经不调', '疼痛', '涩', '腹刺痛']",[]
"['妊娠', '饮食不下', '干呕', '气逆', '胃虚']","[['妊娠', '干呕'], ['饮食不下', '干呕'], ['妊娠', '饮食不下'], ['妊娠', '饮食不下', '干呕']]"
"['妊娠', '中风', '口急', '身如角弓反张', '子痫', '涎潮']","[['口急', '身如角弓反张'], ['身如角弓反张', '子痫'], ['中风', '身如角弓反张'], ['中风', '口急'], ['中风', '口急', '身如角弓反张']]"
"['饮食不下', '饮食不下', '干呕', '眩晕', '妊娠呕恶冲逆', '多睡', '多睡', '骨疼']","[['干呕', '眩晕'], ['饮食不下', '干呕'], ['干呕', '妊娠呕恶冲逆'], ['妊娠呕恶冲逆', '多睡']]"
"['妊娠', '干呕', '眩晕', '背项强直', '上攻', '眼昏', '胎气有伤', '腮项肿核', '太阳穴痛']","[['妊娠', '眩晕'], ['妊娠', '干呕'], ['干呕', '眩晕'], ['胎气有伤', '腮项肿核'], ['妊娠', '干呕', '眩晕']]"
"['不育', '眩晕', '身疼', '怔忡不宁', '气盛', '膈满']",[]
"['妊娠', '动胎', '腰背痠疼']","[['妊娠', '动胎']]"
"['妊娠', '眩晕', '寒邪', '壮热', '眼昏']","[['妊娠', '眩晕']]"
"['妊娠', '咳嗽', '热毒', '胸中胀满', '多痰']",[]
"['妊娠', '干呕', '动胎', '热毒', '胎漏', '不调', '冷热']","[['妊娠', '干呕'], ['不调', '冷热'], ['妊娠', '动胎']]"
"['饮食不下', '口干', '眩晕', '心神多躁', '崩中漏下', '脐腹冷痛', '面色苍黄', '眼目昏花', '下五色', '下瘀']","[['口干', '心神多躁'], ['眩晕', '眼目昏花']]"
"['妊娠', '动胎', '疼痛', '赤白痢', '血结', '不调', '肠鸣', '冷热']","[['不调', '冷热'], ['妊娠', '动胎']]"
"['干血', '心怔']",[]
"['妊娠', '口干', '口干', '心神多躁', '大小便不通', '疟', '疟', '口苦', '小便短赤', '寒多热少', '弦数', '膈满']","[['口干', '口苦'], ['口干', '心神多躁'], ['妊娠', '口干']]"
"['流产', '气血虚弱']",[]
"['妊娠', '心腹胀', '阴寒', '小便短赤', '举体沉重', '形肥', '晕眩']",[]
"['疼痛', '寒湿', '壅闷']",[]
"['劳嗽', '噤口痢']",[]
['元气虚惫'],[]
"['血亏', '自汗', '生疮', '乳汁不足']",[]
"['饮食不下', '咳嗽', '痢不止', '血气冲心痛', '血块', '冷痛', '绞肠']",[]
"['恶心', '腹内痛', '妇人血气', '冷气', '肠胃疼痛']","[['妇人血气', '冷气']]"
"['血亏', '翻胃']",[]
"['血崩', '不睡', '心神不安']",[]
"['遍身壮热', '中风', '血亏']",[]
"['肌体羸瘦', '精神不守', '血块', '痞积']",[]
"['妊娠', '饮食不下', '干呕', '脾胃虚弱']","[['妊娠', '干呕'], ['饮食不下', '干呕'], ['妊娠', '饮食不下'], ['妊娠', '饮食不下', '干呕']]"
"['妊娠', '饮食不下', '遍身壮热', '眩晕', '精神不守', '多睡', '胀满', '气急', '脉弦']","[['妊娠', '眩晕'], ['妊娠', '遍身壮热'], ['妊娠', '饮食不下']]"
"['饮食不下', '干呕', '妊娠呕恶冲逆', '血气不足']","[['饮食不下', '干呕'], ['干呕', '妊娠呕恶冲逆']]"
"['妊娠', '月经过多']","[['妊娠', '月经过多']]"
['动胎'],[]
"['饮食不下', '吐痰', '妊娠吐酸']",[]
"['妊娠', '血气冲心痛', '气息欲绝']",[]
"['动胎', '漏血不止']",[]
['血下少'],[]
"['肚腹痛', '动胎', '月经过多']","[['肚腹痛', '动胎'], ['肚腹痛', '月经过多'], ['动胎', '月经过多'], ['肚腹痛', '动胎', '月经过多']]"
['动胎'],[]
"['月经不通', '胀痛']",[]
"['血崩', '腹内痛']",[]
"['月经过多', '肠风']","[['月经过多', '肠风']]"
"['饮食不下', '脉弦数', '伤胎', '肚痛']",[]
"['妊娠', '遍身壮热', '伤寒', '潮热', '脉弦数']","[['妊娠', '伤寒'], ['遍身壮热', '伤寒'], ['妊娠', '遍身壮热'], ['妊娠', '遍身壮热', '伤寒']]"
"['自汗', '下痢', '不痛', '津液不足']",[]
"['妊娠', '小便尿血']",[]
"['妊娠', '难产']",[]
"['妊娠', '伤寒', '不止', '胎气受损']","[['妊娠', '伤寒']]"
"['伤寒', '发斑']",[]
"['妊娠', '腹内痛', '小便涩']",[]
"['妊娠', '赤白痢', '绞刺疼痛']",[]
['不育'],[]
"['不育', '不调']",[]
['不育'],[]
"['不育', '产后滞血', '小便浊败']",[]
"['不育', '血亏']",[]
"['不育', '气血']",[]
"['不育', '涩', '流产', '产前后诸疾']",[]
['不育'],[]
"['月经不调', '不育', '阴中冷']","[['月经不调', '不育'], ['月经不调', '阴中冷'], ['不育', '阴中冷'], ['月经不调', '不育', '阴中冷']]"
['阴冷'],[]
['阴肿'],[]
['阴肿'],[]
"['带下不止', '湿热', '痰盛']",[]
"['湿热', '赤白带']",[]
['赤白带下'],[]
['赤白带下'],[]
"['崩中漏下', '脉微']",[]
"['赤白带下', '结生瘕聚', '结生瘕聚', '心腹胀', '无力', '赤白痢', '气血虚弱', '胸满', '痿黄', '寒湿带下']",[]
['赤白带下'],[]
['难产'],[]
['难产'],[]
"['产后百损', '烦躁', '志意不定']",[]
"['中风', '血亏', '背项强直', '产后气血不足']",[]
"['头痛', '产后百损', '寒邪', '憎寒壮热']",[]
"['产后', '血亏', '癫痫']",[]
"['产后', '怔忡不宁', '血下少']",[]
"['产后', '遍身壮热', '脉弦虚', '凑心', '血瘀', '闷乱', '妄言', '风痰']","[['产后', '遍身壮热']]"
['产后'],[]
"['产后', '干呕', '胃虚']","[['产后', '干呕']]"
['产后百损'],[]
"['产后', '不止', '咳逆']",[]
"['产后', '饮食不下', '干呕']","[['产后', '饮食不下'], ['饮食不下', '干呕'], ['产后', '干呕'], ['产后', '饮食不下', '干呕']]"
"['产后', '饮食不下', '腹中疼痛', '气短促', '冲任不固', '虚羸', '有汗', '小腹急疼']","[['产后', '饮食不下']]"
['产后'],[]
"['产后', '心腹胀']",[]
"['产后', '干呕']","[['产后', '干呕']]"
"['产后', '遍身壮热', '阴虚', '气血虚弱']","[['产后', '遍身壮热']]"
"['咳嗽', '产后百损', '多倦', '肢体怠情', '盗汗', '少力', '有痰']","[['多倦', '少力']]"
"['肚腹痛', '烦愦', '产后恶露不尽', '毒气冲心']",[]
"['产后', '浮肿']",[]
"['产后', '腹中疼痛', '血痢']",[]
"['产后', '月经不通', '热毒', '小便数日不通', '血热']",[]
"['产后', '大小便出血']",[]
"['产后', '遍身壮热']","[['产后', '遍身壮热']]"
['乳汁不足'],[]
"['涩', '气滞', '小便闭']",[]
"['产后', '痢不止']","[['产后', '痢不止']]"
"['产后', '子宫不收']",[]
"['产后', '大小便不通', '心腹胀']",[]
"['产后', '饮食不下', '不止']","[['产后', '饮食不下']]"
"['产后', '不乳出']",[]
"['产后', '不乳出', '气血虚']",[]
['赤白泻痢'],[]
['产后'],[]
"['产后', '大便后下血']",[]
"['产后', '血晕', '虚火']","[['产后', '血晕']]"
"['产后', '眩晕', '腰痛', '风邪', '行步艰难', '四肢沉重', '转侧不得']",[]
['恶露未尽'],[]
"['产后', '肚腹痛', '寒热', '气滞', '内热', '胁胀', '晡热']","[['产后', '肚腹痛'], ['产后', '寒热']]"
"['产后', '恶露不下', '气壅', '不下食', '胁胀痛']",[]
"['产后', '月经不通', '遍身壮热', '结生瘕聚', '肢体怠情', '脐下胀满']","[['产后', '遍身壮热'], ['月经不通', '结生瘕聚']]"
"['产后', '作痛']",[]
"['肚腹痛', '结生瘕聚', '腰痛', '胎漏', '血刺']",[]
['胎衣不下'],[]
"['产后', '月经过多', '不止']",[]
"['产后', '肚腹痛', '恶露未尽']","[['产后', '恶露未尽'], ['产后', '肚腹痛']]"
['产后血虚身痛'],[]
['产后崩中下血'],[]
['元气虚惫'],[]
['骨蒸潮热'],[]
['不止'],[]
['肢节无力'],[]
"['月经不通', '气壅', '脐下憋逆']",[]
"['肚腹痛', '疼痛', '攻刺', '产后败血攻刺']",[]
"['月经不通', '脐腹']",[]
['不止'],[]
"['不育', '气血', '虚劳', '肾虚', '瘦弱']",[]
"['难产', '气血虚']",[]
"['干呕', '肌体羸瘦', '腰痛']",[]
['腹中疼痛'],[]
"['产后', '干呕', '肚腹痛', '痢不止', '寒邪', '气逆', '血气冲心痛', '偏正头风', '惊风', '山岚瘴气', '血闷冲心', '妊娠中恶', '痰迷']","[['干呕', '肚腹痛'], ['干呕', '痢不止'], ['产后', '肚腹痛'], ['产后', '痢不止'], ['肚腹痛', '痢不止'], ['产后', '干呕'], ['产后', '干呕', '痢不止'], ['干呕', '肚腹痛', '痢不止'], ['产后', '肚腹痛', '痢不止'], ['产后', '干呕', '肚腹痛'], ['产后', '干呕', '肚腹痛', '痢不止']]"
"['饮食不下', '伤寒', '胸中胀满', '气滞', '作痛', '食积', '结胸', '冷痛', '胀闷']",[]
"['月经不通', '脚手痹顽', '偏正头风', '腰胯沉重', '阴肿', '搔痒']","[['脚手痹顽', '偏正头风']]"
"['产后', '昏迷不省', '恍惚', '言语不得', '夜寐不安', '惊胎', '惊风', '惊风', '癫痫', '癫痫', '伤损经络', '怔忡不宁', '痰壅', '昏愦', '恐怖', '啼哭不止', '啼笑']","[['惊胎', '惊风']]"
"['热毒', '疮疥', '口烂', '丹毒', '痘疹', '热邪']","[['热毒', '疮疥']]"
"['月经不调', '不育', '流产', '堕胎']","[['月经不调', '不育']]"
['动胎'],[]
"['饮食不下', '遍身壮热', '肢体怠情', '气血', '无力', '肌黄形瘦']",[]
['气血不和'],[]
"['肚腹痛', '遍身壮热', '赤白带下', '口干', '不育', '崩中漏下', '阴寒', '心热', '小腹急疼']","[['肚腹痛', '遍身壮热'], ['赤白带下', '不育'], ['遍身壮热', '阴寒'], ['遍身壮热', '口干']]"
"['肚腹痛', '血结', '经水忽来忽断']",[]
"['冲任不固', '血气不足']",[]
"['妊娠', '言语謇涩']",[]
"['妊娠', '饮食不下', '干呕', '妊娠呕恶冲逆', '胃虚']","[['妊娠', '干呕'], ['饮食不下', '干呕'], ['干呕', '妊娠呕恶冲逆'], ['妊娠', '饮食不下'], ['妊娠', '饮食不下', '干呕']]"
"['大小便不通', '神昏', '产后恶露不尽', '上逆']",[]
"['饮食不下', '身疼', '毒气冲心']",[]
"['妊娠', '干呕', '气逆', '血热']","[['妊娠', '干呕']]"
"['产后', '腹中', '成块']",[]
"['赤白带下', '口干', '眩晕', '崩中漏下', '肢节无力', '多倦', '精神不守', '多睡', '耳内虚鸣', '经行无定期', '眼昏', '心热', '夜寐不安', '肌黄形瘦', '血衰', '气盛', '懒言', '紫多淡少']","[['多倦', '多睡'], ['血衰', '气盛'], ['耳内虚鸣', '眼昏'], ['眩晕', '耳内虚鸣']]"
"['饮食不下', '寒热', '心腹疼痛', '多倦', '气血', '冲任不固', '阴阳不和']","[['气血', '冲任不固'], ['饮食不下', '寒热']]"
"['肚腹痛', '寒热', '恶露不下']",[]
"['肚腹痛', '月经不调', '眩晕', '肌体羸瘦', '带下不止', '肌肉陷下', '血虚有寒', '气血虚损']","[['月经不调', '眩晕'], ['月经不调', '肌体羸瘦'], ['肚腹痛', '月经不调']]"
"['月经不通', '瘀血', '胀痛', '腹中结块', '血蛊', '跌仆', '跌仆', '腹上血丝']",[]
"['产后', '口急', '昏迷不省', '闭目不省', '血厥']","[['口急', '昏迷不省'], ['闭目不省', '血厥']]"
"['中风', '喘促', '痰饮', '昏迷不省', '牙关紧闭', '惊风', '痰盛', '壅盛']","[['痰饮', '壅盛'], ['昏迷不省', '牙关紧闭']]"
"['口干', '大小便不通', '胸膈', '气滞不行']",[]
"['口干', '眩晕', '肌体羸瘦', '涩', '心神多躁', '崩中漏下', '心神惊悸', '潮热', '骨蒸潮热', '耳内虚鸣', '阴虚', '夜寐不安', '脉弦虚', '虚热', '耳聋', '舌质红', '白淫', '量多', '梦交', '齿摇', '腰膝酸软']","[['舌质红', '量多'], ['口干', '心神多躁'], ['眩晕', '耳内虚鸣']]"
"['带下', '元气虚惫']",[]
"['饮食不下', '寒热', '口干', '元气虚惫', '多倦', '盗汗', '五劳', '小便利数', '耳内虚鸣', '眼昏', '面目青黑', '夜寐不安', '气短', '心忪', '悸动', '小腹急疼', '发渴']","[['寒热', '口干'], ['饮食不下', '寒热'], ['小便利数', '耳内虚鸣'], ['耳内虚鸣', '眼昏']]"
