症状,亲友团
脉滑,"['妊娠', '干呕', '产后', '饮食不下', '口干', '月经过多', '眩晕', '舌质淡', '动胎', '心腹胀', '心神惊悸', '带下不止', '多痰', '舌苔黄腻', '苔薄']"
咯血,"['吐血不止', '咳嗽', '衄血', '产后', '咯痰带血', '血崩', '咳血', '痰饮', '虚劳', '小儿惊痫', '遍身壮热', '中风', '口干', '头目眩晕', '胸中胀满']"
往来寒热,"['产后', '遍身壮热', '口干', '疟', '自汗', '饮食不下', '伤寒', '干呕', '月经不调', '背项强直', '头痛', '肌体羸瘦', '心神多躁', '渐渐羸瘦', '寒邪']"
急痛,"['产后', '干呕', '口干', '喘促', '妊娠', '中风', '月经过多', '疼痛', '伤寒', '眩晕', '身疼', '渐渐羸瘦', '胸中胀满', '膨胀腹满', '眼赤']"
胁满,"['产后', '饮食不下', '干呕', '肚腹痛', '月经不调', '遍身壮热', '寒热', '伤寒', '眩晕', '肢节无力', '背项强直', '面目青黑', '小便短赤', '咯血', '胸腹妨闷']"
气膈,"['干呕', '饮食不下', '痢不止', '结生瘕聚', '产后', '霍乱', '翻胃', '心腹胀', '吞酸', '痰饮', '恶心', '吐泻', '食积', '脾胃不和', '头痛']"
脾胃不和,"['饮食不下', '干呕', '痢不止', '痰饮', '恶心', '霍乱', '吐泻', '产后', '头目眩晕', '胸膈', '噎塞', '肚腹痛', '气膈', '头痛', '口干']"
鼻衄,"['产后', '吐血不止', '咳嗽', '月经过多', '喘促', '肠风', '赤白带下', '伤寒', '难产', '胎衣不下', '小儿惊痫', '饮食不下', '遍身壮热', '中风', '口干']"
痰壅,"['产后', '咳嗽', '遍身壮热', '头痛', '饮食不下', '干呕', '寒热', '疼痛', '伤寒', '头目眩晕', '身疼', '痈', '感冒', '妊娠', '腹中疼痛']"
不能行步,"['产后', '饮食不下', '五劳', '偏枯', '干呕', '中风', '四肢急掣', '手足不遂', '妊娠', '月经不调', '寒热', '咳嗽', '血崩', '渐渐羸瘦', '肢节无力']"
痘疮,"['遍身壮热', '口干', '伤寒', '痈', '疮疥', '痢不止', '凝滞', '妊娠', '饮食不下', '难产', '不止', '血亏', '热毒', '霍乱', '阴虚']"
山岚瘴气,"['咳嗽', '疟', '头痛', '干呕', '痢不止', '产后', '肚腹痛', '赤白带下', '疳', '小儿惊痫', '伤寒', '痰饮', '霍乱', '感冒', '中热']"
斑,"['伤寒', '妊娠', '干呕', '口烂', '丹疹', '产后', '热毒', '壮热', '疳', '头痛', '咳嗽', '中风', '口干', '痢不止', '疟']"
跌打损伤,"['身疼', '月经不调', '产后', '肚腹痛', '咳嗽', '月经不通', '赤白带下', '痢不止', '疟', '五劳', '寒湿', '瘰疬', '妊娠', '干呕', '疼痛']"
风感太阳,"['伤寒', '妊娠', '遍身壮热', '头痛', '产后', '涩', '口急', '疼痛', '头目眩晕', '大小便不通', '寒湿', '无汗', '饮食不下', '干呕', '咳嗽']"
腹大,"['产后', '妊娠', '月经不通', '遍身壮热', '血结', '饮食不下', '结生瘕聚', '疟', '头痛', '动胎', '中风', '伤寒', '眩晕', '元气虚惫', '渐渐羸瘦']"
鬼胎,"['结生瘕聚', '月经不通', '疳', '妊娠', '干呕', '痈疽发背', '翻胃', '山岚瘴气', '肚腹痛', '寒热', '赤白带下', '咳嗽', '痢不止', '疼痛', '疟']"
腰腿无力,"['饮食不下', '血风劳', '干呕', '月经不调', '痢不止', '头目眩晕', '元气虚惫', '面色黄青', '赤白带下', '身疼', '肢体怠情', '五劳', '肚腹痛', '月经不通', '中风']"
发寒热,"['饮食不下', '产后', '月经不通', '遍身壮热', '胸中胀满', '干呕', '口干', '渐渐羸瘦', '赤白带下', '咳嗽', '痢不止', '头目眩晕', '腹中疼痛', '身疼', '多倦']"
口眼歪斜,"['中风', '产后', '半身不遂', '言语謇涩', '昏迷不省', '脚手痹顽', '身如角弓反张', '牙关紧闭', '左瘫右痪', '头痛', '寒湿', '耳内虚鸣', '偏正头风', '妊娠', '头目眩晕']"
里急后重,"['痢不止', '产后', '肚腹痛', '饮食不下', '脓血', '下痢', '肠鸣', '干呕', '胸中胀满', '带浊', '冷热', '妊娠', '头痛', '大小便不通', '心腹胀']"
卧起不安,"['饮食不下', '咳嗽', '产后', '头目眩晕', '喘促', '血风劳', '寒邪', '鼻塞多嚏', '干呕', '伤寒', '言语謇涩', '面色黄青', '盗汗', '气逆', '气急']"
下元不固,"['月经不调', '崩中漏下', '带下', '不育', '赤白带下', '饮食不下', '阴中冷', '小便利数', '产后', '月经过多', '眩晕', '腹中疼痛', '小便浊败', '妊娠', '肚腹痛']"
消渴,"['赤白带下', '疮疥', '产后', '饮食不下', '头痛', '咳嗽', '不止', '痈', '血气冲心痛', '肠风', '干呕', '中风', '痢不止', '大小便不通', '面色黄青']"
血分,"['四肢肿', '月经不通', '遍身洪肿', '肚腹膨胀', '饮食不下', '头面肿满', '小便数日不通', '水肿', '月经过多', '涩', '喘促', '大小便不通', '气短促', '四肢烦疼', '经水忽来忽断']"
阴痒,"['小便浊败', '带下', '湿热', '烦愦', '耳聋', '阴肿', '湿热下注', '产后', '妊娠', '遍身壮热', '口干', '痢不止', '伤寒', '头目眩晕', '元气虚惫']"
肿满,"['大小便不通', '产后', '喘促', '月经不通', '妊娠', '干呕', '头痛', '疟', '热毒', '咳嗽', '疼痛', '元气虚惫', '痰饮', '腰痛', '疝气']"
壅滞,"['痰饮', '干呕', '咳嗽', '产后', '寒热', '头痛', '中风', '疼痛', '眩晕', '头目眩晕', '血风劳', '喘促', '大小便不通', '面色黄青', '四肢急掣']"
痠痛,"['饮食不下', '月经不调', '眩晕', '痢不止', '头目眩晕', '风湿脚气', '干呕', '疼痛', '血风劳', '阴寒', '气短促', '背项强直', '脚手痹顽', '肚腹痛', '月经不通']"
血不止,"['产后', '血崩', '口干', '饮食不下', '带下', '崩中漏下', '吐血不止', '破伤风', '肚腹痛', '痢不止', '伤寒', '产后百损', '肢体怠情', '面色黄青', '气短促']"
腹中结块,"['月经不通', '饮食不下', '眩晕', '产后', '血结', '干呕', '遍身壮热', '面色黄青', '潮热', '眼目昏花', '腰腿重痛', '月经不调', '寒热', '头痛', '疼痛']"
舌质红,"['口干', '脉弦数', '月经过多', '眩晕', '舌苔黄腻', '心神多躁', '心神惊悸', '潮热', '口苦', '妊娠', '阴虚', '面色发红', '小便短赤', '产后', '遍身壮热']"
经水忽来忽断,"['寒热', '伤寒', '寒热如疟', '热入血室', '干呕', '头痛', '心神多躁', '牙关紧闭', '手足挛急', '饮食不下', '肚腹痛', '遍身壮热', '言语謇涩', '往来寒热', '风感太阳']"
积冷,"['饮食不下', '痢不止', '产后', '干呕', '心腹胀', '痰饮', '阴中冷', '心腹胀满', '气痛', '赤白带下', '不育', '眩晕', '肌体羸瘦', '渐渐羸瘦', '结生瘕聚']"
湿气下利,"['干呕', '伤寒', '肚腹痛', '痢不止', '遍身壮热', '口干', '带下', '肠鸣', '妊娠', '饮食不下', '结生瘕聚', '动胎', '头目眩晕', '热毒', '脉弦数']"
食滞,"['干呕', '食积', '结生瘕聚', '痢不止', '疟', '饮食不下', '咳嗽', '大小便不通', '肠风', '气块', '产后', '赤白带下', '伤寒', '心腹胀', '妇人血气']"
所下,"['妊娠', '寒热', '动胎', '肚腹痛', '腰痛', '膨胀腹满', '干呕', '短气', '手足厥寒', '饮食不下', '口干', '伤寒', '眩晕', '心神多躁', '四肢烦疼']"
壅盛,"['痰饮', '言语謇涩', '咳嗽', '半身不遂', '产后', '饮食不下', '干呕', '喘促', '恶心', '头痛', '中风', '四肢急掣', '腹刺痛', '胸膈', '小儿惊痫']"
余疾,"['产后', '饮食不下', '五劳', '寒热', '干呕', '肚腹痛', '大小便不通', '血气冲心痛', '上气', '偏枯', '月经不调', '口干', '伤寒', '眩晕', '渐渐羸瘦']"
中热,"['霍乱', '产后', '吐泻', '遍身壮热', '中风', '疟', '痢不止', '肚腹痛', '伤寒', '感冒', '小儿惊痫', '山岚瘴气', '饮食不下', '头痛', '神昏']"
凝滞,"['产后', '饮食不下', '遍身壮热', '寒热', '头目眩晕', '身疼', '痰饮', '痈', '瘰疬', '痘疮', '月经不调', '赤白带下', '中风', '肌体羸瘦', '难产']"
成块,"['产后', '血结', '肚腹痛', '月经不通', '月经不调', '遍身壮热', '疼痛', '结生瘕聚', '食积', '赤白带下', '眩晕', '恶露不下', '腹中', '产后滞血', '血块']"
气块,"['干呕', '饮食不下', '赤白带下', '月经不调', '寒热', '咳嗽', '肠风', '血瘕', '翻胃', '食滞', '肚腹痛', '疼痛', '痰饮', '面无色', '痞积']"
身体拘急,"['中风', '产后', '口急', '妊娠', '反张', '头目眩晕', '言语謇涩', '昏迷不省', '言语不得', '牙关紧闭', '口眼歪斜', '心神多躁', '腰痛', '寒湿', '身如角弓反张']"
胸腹妨闷,"['饮食不下', '月经不通', '产后', '妊娠', '咳嗽', '伤寒', '干呕', '头痛', '四肢烦疼', '烦渴', '月经不调', '遍身壮热', '痢不止', '肌体羸瘦', '大小便不通']"
两胁胀痛,"['饮食不下', '干呕', '气滞', '产后', '眩晕', '大小便不通', '痰饮', '胸中胀满', '月经不调', '寒热', '咳嗽', '肌体羸瘦', '头目眩晕', '血崩', '心神多躁']"
心气不足,"['惊悸', '渐渐羸瘦', '盗汗', '恍惚', '夜寐不安', '怔忡不宁', '产后', '饮食不下', '寒热', '带下', '肢体怠情', '心神惊悸', '自汗', '精神不守', '小便浊败']"
脉细紧,"['产后', '干呕', '遍身壮热', '涩', '阴寒', '风邪', '肚腹痛', '身疼', '寒邪', '牙关紧闭', '妊娠', '月经不通', '寒热', '头痛', '咳嗽']"
手足烦倦,"['饮食不下', '月经不调', '干呕', '妊娠', '肚腹痛', '月经不通', '带下', '头目眩晕', '崩中漏下', '有汗', '咽膈不利', '遍身壮热', '口干', '不育', '眩晕']"
发歇,"['寒热', '饮食不下', '血风劳', '疼痛', '产后', '肢节无力', '月经不调', '肌体羸瘦', '头目眩晕', '结生瘕聚', '盗汗', '四肢烦疼', '心神惊悸', '干呕', '咳嗽']"
白带频下,"['带下', '肢体怠情', '经前腹痛', '饮食不下', '月经不调', '涩', '元气虚惫', '渐渐羸瘦', '阴中冷', '脐腹冷痛', '风湿脚气', '举体沉重', '久冷', '干呕', '肚腹痛']"
经水不匀,"['饮食不下', '血崩', '干呕', '头目眩晕', '血亏', '血气风劳', '月经不通', '赤白带下', '口干', '眩晕', '腹中疼痛', '精神不守', '潮热', '肌黄形瘦', '诸虚百损']"
喘嗽,"['口干', '月经不调', '寒热', '干呕', '咳嗽', '伤寒', '痰饮', '产后', '遍身壮热', '肢体怠情', '盗汗', '饮食不下', '肚腹痛', '头痛', '中风']"
闷绝,"['产后', '昏迷不省', '血晕', '妊娠', '疼痛', '干呕', '伤寒', '霍乱', '吐泻', '神昏', '凑心', '倒错不识人', '头痛', '月经过多', '头目眩晕']"
气息欲绝,"['产后', '血气冲心痛', '妊娠', '血晕', '冷汗', '干呕', '动胎', '难产', '冷气', '心闷', '饮食不下', '中风', '烦愦', '恶心', '死胎']"
邪气,"['产后', '饮食不下', '寒热', '月经不通', '渐渐羸瘦', '言语謇涩', '外感', '干呕', '遍身壮热', '头痛', '赤白带下', '口干', '头目眩晕', '血风劳', '涩']"
阴阳不和,"['产后', '寒热', '吐泻', '饮食不下', '头痛', '气血', '霍乱', '冲任不固', '遍身壮热', '产后百损', '多倦', '阴寒', '外感', '手足厥寒', '脏腑虚损']"
痔疮,"['肠风', '饮食不下', '咳嗽', '月经过多', '眩晕', '结生瘕聚', '产后', '干呕', '月经不通', '痢不止', '渐渐羸瘦', '言语謇涩', '盗汗', '痈', '大便结燥']"
丹毒,"['热毒', '痈', '口烂', '遍身壮热', '口干', '疮疥', '感冒', '疼痛', '大小便不通', '惊胎', '痈疽发背', '流注', '疖', '小便淋露不止', '痘疹']"
出痘,"['遍身壮热', '动胎', '妊娠', '干呕', '月经不通', '月经过多', '心腹疼痛', '腰痛', '壮热', '气逆', '经行无定期', '肿痛', '丹疹', '气滞不行', '热甚']"
痘疹,"['遍身壮热', '咳嗽', '伤寒', '痈', '口烂', '干呕', '疼痛', '热毒', '疮疥', '感冒', '疝气', '小儿惊痫', '疖', '食滞', '丹毒']"
产后血运,"['肚腹痛', '寒热', '腹中疼痛', '喘促', '烦愦', '恶露不下', '面目青黑', '心闷', '闷绝', '气息欲绝', '倒错不识人', '血闷冲心', '妊娠', '饮食不下', '干呕']"
小儿胎寒,"['肚腹痛', '大便色黑', '饮食不下', '面目青黑', '面色苍白', '躽啼', '虚冷', '惊风', '四肢逆冷', '盘肠内瘹', '遍身壮热', '痢不止', '腹中疼痛', '心腹胀', '口急']"
子痫,"['口急', '妊娠', '痰饮', '身如角弓反张', '血亏', '昏迷不省', '背项强直', '倒错不识人', '产后', '中风', '言语謇涩', '壅盛', '头痛', '动胎', '眩晕']"
心疼,"['干呕', '肚腹痛', '咳嗽', '伤寒', '月经不通', '霍乱', '疝气', '头痛', '赤白带下', '疼痛', '结生瘕聚', '大小便不通', '妇人血气', '痈', '吐泻']"
小腹急疼,"['饮食不下', '气短促', '产后', '遍身壮热', '口干', '大小便不通', '夜寐不安', '血崩', '元气虚惫', '产后百损', '多倦', '阴寒', '五劳', '心神惊悸', '不安']"
倒错不识人,"['产后', '血晕', '口急', '心闷', '子痫', '妊娠', '言语謇涩', '喘促', '烦愦', '背项强直', '闷绝', '中风', '寒邪', '脉浮', '风感太阳']"
上盛,"['干呕', '饮食不下', '元气虚惫', '不和', '产后', '赤白带下', '不育', '头目眩晕', '结生瘕聚', '痰饮', '盗汗', '气短促', '霍乱', '小便利数', '气不升降']"
妄言,"['产后', '狂言', '遍身壮热', '言语謇涩', '口干', '气血', '热入血室', '饮食不下', '干呕', '寒热', '头痛', '伤寒', '感冒', '恍惚', '神昏']"
阴肿,"['产后', '妊娠', '疼痛', '阴痒', '干呕', '月经不通', '头痛', '中风', '口干', '伤寒', '带下', '不止', '腹中疼痛', '渐渐羸瘦', '热毒']"
五淋,"['赤白带下', '肠风', '月经不调', '干呕', '肚腹痛', '月经过多', '痢不止', '结生瘕聚', '疟', '小便浊败', '咳嗽', '痈', '惊风', '腰腿痠疼', '饮食不下']"
肿胀,"['饮食不下', '妊娠', '寒热', '咳嗽', '痢不止', '疼痛', '结生瘕聚', '作痛', '食积', '口烂', '产后', '干呕', '月经不调', '口干', '带下']"
大便时溏,"['饮食不下', '精神不守', '舌苔花白', '遍身壮热', '舌质淡', '干呕', '月经不通', '月经不调', '痢不止', '结生瘕聚', '心腹胀', '多倦', '寒邪', '肢体怠情', '气短促']"
肺气喘,"['产后', '干呕', '霍乱', '咳嗽', '饮食不下', '吐泻', '口干', '伤寒', '妊娠', '中风', '痢不止', '肌体羸瘦', '头目眩晕', '元气虚惫', '身疼']"
血闷冲心,"['产后', '中风', '干呕', '月经不通', '月经不调', '头痛', '月经过多', '伤寒', '言语謇涩', '口急', '气短促', '胎衣不下', '言语不得', '面目青黑', '身如角弓反张']"
腰膝酸痛或冷痛,"['不育', '眩晕', '耳内虚鸣', '饮食不下', '赤白带下', '痢不止', '带下', '肢节无力', '畏寒', '月经不调', '月经过多', '肌体羸瘦', '头目眩晕', '渐渐羸瘦', '盗汗']"
手足疼痛,"['饮食不下', '产后', '肚腹痛', '干呕', '月经不通', '月经不调', '寒热', '眩晕', '痰饮', '疟', '面色黄青', '脚手痹顽', '山岚瘴气', '头痛', '咳嗽']"
脉微,"['饮食不下', '崩中漏下', '伤寒', '带下', '自汗', '产后', '干呕', '遍身壮热', '月经过多', '涩', '元气虚惫', '喘促', '血亏', '大小便不通', '气血']"
舌苔黄腻,"['脉弦数', '口干', '舌质红', '眩晕', '产后', '潮热', '遍身壮热', '月经过多', '心神多躁', '舌质淡', '色红', '咳嗽', '血块', '口苦', '血热']"
多忘,"['饮食不下', '盗汗', '眩晕', '产后', '遍身壮热', '痢不止', '惊悸', '月经不通', '咳嗽', '伤寒', '带下', '元气虚惫', '心神惊悸', '恍惚', '不睡']"
失色,"['产后', '血崩', '咳嗽', '中风', '月经过多', '盗汗', '冲任不固', '虚羸', '饮食不下', '遍身壮热', '带下', '眩晕', '肌体羸瘦', '不止', '元气虚惫']"
涕唾稠粘,"['咳嗽', '饮食不下', '产后', '喘促', '伤寒', '胸中胀满', '干呕', '头痛', '痢不止', '头目眩晕', '面色黄青', '湿热', '多痰', '肚腹痛', '月经不通']"
吐利,"['霍乱', '产后', '饮食不下', '干呕', '肚腹痛', '寒热', '伤寒', '手足厥寒', '遍身壮热', '元气虚惫', '疟', '自汗', '烦渴', '疼痛', '肌体羸瘦']"
无汗,"['遍身壮热', '头痛', '阴寒', '伤寒', '产后', '寒邪', '身疼', '脉浮', '妊娠', '饮食不下', '肚腹痛', '疟', '舌苔花白', '寒热', '咳嗽']"
血溺,"['伤寒', '产后', '妊娠', '咳嗽', '血崩', '涩', '吐血不止', '壮热', '骨蒸潮热', '大便后下血', '衄血', '干呕', '肚腹痛', '遍身壮热', '寒热']"
血伤,"['赤白带下', '不止', '带下', '心神多躁', '妊娠', '饮食不下', '遍身壮热', '痢不止', '肌体羸瘦', '头目眩晕', '渐渐羸瘦', '多倦', '肢体怠情', '脐腹冷痛', '精神不守']"
久痢,"['干呕', '痢不止', '血崩', '久疟', '饮食不下', '咳嗽', '气短促', '小儿惊痫', '水肿', '产后', '肚腹痛', '遍身壮热', '中风', '伤寒', '元气虚惫']"
癥块,"['月经不通', '心腹疼痛', '面色黄青', '月经不调', '妊娠', '饮食不下', '赤白带下', '口干', '疼痛', '肌体羸瘦', '头目眩晕', '心神多躁', '元气虚惫', '结生瘕聚', '五劳']"
血滞,"['月经不通', '产后', '寒热', '结生瘕聚', '干呕', '月经不调', '咳嗽', '身疼', '血晕', '腰痛', '死胎', '产后滞血', '肚腹痛', '头痛', '赤白带下']"
里急,"['产后', '饮食不下', '肚腹痛', '遍身壮热', '口干', '带下', '不止', '小便利数', '咳嗽', '眩晕', '肢体怠情', '气短促', '腹中', '腹内痛', '虚劳']"
下瘕血闭,"['寒热', '产后', '月经不调', '赤白带下', '痢不止', '疼痛', '气血', '血瘕', '中风', '口干', '头目眩晕', '腹中疼痛', '元气虚惫', '疟', '痈']"
小儿疳,"['痢不止', '干呕', '产后', '月经不通', '结生瘕聚', '翻胃', '饮食不下', '月经不调', '遍身壮热', '咳嗽', '中风', '肌体羸瘦', '渐渐羸瘦', '五劳', '心腹多痛']"
血刺,"['血块', '肚腹痛', '结生瘕聚', '产后', '饮食不下', '血晕', '冷气', '疝气', '动胎', '痢不止', '腹中疼痛', '心腹疼痛', '肢节无力', '妇人血气', '霍乱']"
两胁闷痛,"['饮食不下', '月经不通', '四肢烦疼', '动胎', '血风劳', '喘促', '肢节无力', '产后气虚', '头面肿满', '遍身洪肿', '血分', '冷劳', '忧恚', '背膊疼痛', '产后']"
脐腹胀闷,"['产后', '妊娠', '饮食不下', '胎衣不下', '小便涩', '干呕', '赤白带下', '疼痛', '涩', '大小便不通', '大便结燥', '产后滞血', '神昏', '津液不足', '胎压尿胞']"
气不足,"['饮食不下', '面目青黑', '产后', '赤白带下', '头目眩晕', '元气虚惫', '不调', '筋急', '月经不调', '寒热', '口干', '疼痛', '带下', '不育', '涩']"
风痰,"['头痛', '干呕', '痰饮', '产后', '饮食不下', '头目眩晕', '吐泻', '中风', '眩晕', '疟', '恶心', '霍乱', '言语不得', '壅盛', '咳嗽']"
寒疝,"['产后', '肚腹痛', '月经不通', '干呕', '月经不调', '头痛', '咳嗽', '伤寒', '腰痛', '阴寒', '虚劳', '寒湿', '胁痛', '里急', '饮食不下']"
咳喘,"['遍身壮热', '干呕', '肚腹痛', '痢不止', '伤寒', '大小便不通', '疟', '潮热', '产后', '赤白带下', '咳嗽', '身疼', '喘促', '烦愦', '痰饮']"
羞明,"['涩', '热毒', '翳膜', '上攻', '赤眼肿痛', '视物不明', '产后', '疼痛', '头目眩晕', '血风劳', '眼赤', '攀睛胬肉', '拳毛倒睫', '头痛', '眩晕']"
不痛,"['产后', '妊娠', '痢不止', '小便利数', '血块', '淋', '肠鸣', '虚寒', '寒疝', '饮食不下', '干呕', '肚腹痛', '遍身壮热', '寒热', '动胎']"
产门,"['产后', '不闭', '疼痛', '难产', '涩', '结毒', '肿硬', '流血不止', '脓血淋漓', '交骨不开', '饮食不下', '月经不通', '月经不调', '遍身壮热', '血亏']"
产后气血不足,"['饮食不下', '月经不通', '中风', '肌体羸瘦', '涩', '心神多躁', '渐渐羸瘦', '背项强直', '四肢烦倦', '干呕', '肚腹痛', '遍身壮热', '寒热', '疼痛', '血风劳']"
妊娠胞阻,"['动胎', '饮食不下', '月经过多', '疼痛', '下痢', '产后', '月经不通', '口干', '眩晕', '头目眩晕', '不止', '心神多躁', '渐渐羸瘦', '寒邪', '阴寒']"
妊娠中恶,"['肚腹痛', '产后', '干呕', '中风', '伤寒', '霍乱', '腹刺痛', '血气冲心痛', '吐泻', '言语不得', '闷绝欲死', '月经不通', '月经不调', '咳嗽', '疼痛']"
小儿胎寒虚,"['肚腹痛', '痢不止', '肠鸣', '躽啼', '妊娠', '饮食不下', '寒热', '不止', '腰痛', '心神惊悸', '胀满', '膨胀腹满', '胎热', '伤胎', '所下']"
食不生肌,"['产后', '饮食不下', '寒热', '面色黄青', '干呕', '月经不通', '月经不调', '口干', '五劳', '口烂', '痢不止', '渐渐羸瘦', '崩中漏下', '肢体怠情', '虚劳']"
结胸,"['伤寒', '遍身壮热', '口干', '言语謇涩', '大小便不通', '疟', '产后', '饮食不下', '肚腹痛', '赤白带下', '痢不止', '崩中漏下', '寒邪', '热毒', '胎衣不下']"
饱胀,"['产后', '干呕', '肚腹痛', '咳嗽', '饮食不下', '月经不调', '痢不止', '恶露未尽', '疟', '嗳气', '头痛', '伤寒', '眩晕', '身疼', '恶心']"
四肢沉重,"['饮食不下', '干呕', '多睡', '眩晕', '结生瘕聚', '妊娠', '头目眩晕', '心神多躁', '渐渐羸瘦', '四肢痠痛', '月经不通', '月经不调', '身疼', '疟', '妊娠呕恶冲逆']"
发狂,"['口干', '遍身壮热', '烦躁', '肚腹痛', '产后', '寒热', '动胎', '中风', '伤寒', '面色发红', '血崩', '胎衣不下', '四肢肿', '生疮', '烦渴']"
发痫,"['产后', '口急', '背项强直', '脉浮', '身如角弓反张', '牙关紧闭', '遍身壮热', '中风', '痰饮', '胸中胀满', '面目青黑', '风邪', '脉细紧', '身凉', '苔薄']"
赤眼肿痛,"['热毒', '疼痛', '痈', '疮疥', '上攻', '口烂', '羞明', '翳膜', '头痛', '涩', '疖', '肚腹痛', '丹毒', '饮食不下', '月经不通']"
崩中五色,"['饮食不下', '产后', '月经不调', '赤白带下', '月经过多', '不育', '肌体羸瘦', '不止', '面色苍黄', '头目眩晕', '寒邪', '腹刺痛', '面目青黑', '淋沥不断', '成胎']"
经水涩少,"['舌质淡', '舌苔花白', '月经不通', '月经不调', '眩晕', '头目眩晕', '血亏', '心腹胀', '气滞', '经行无定期', '少腹苦痛', '月经后期', '色淡', '饮食不下', '口干']"
米谷不化,"['痢不止', '产后', '饮食不下', '烦渴', '肚腹痛', '遍身壮热', '口干', '伤寒', '生疮', '肠鸣', '妊娠', '干呕', '寒热', '中风', '血崩']"
上焦,"['口干', '产后', '热毒', '肚腹痛', '头目眩晕', '喘促', '大便结燥', '背项强直', '口烂', '小便短赤', '少力', '饮食不下', '干呕', '遍身壮热', '寒热']"
发为,"['产后', '寒热', '热毒', '口急', '痈', '疮疥', '月经不通', '头痛', '咳嗽', '口干', '眩晕', '背项强直', '作痛', '烦躁', '潮热']"
瘙痒,"['血风劳', '头目眩晕', '背项强直', '瘾疹', '月经不通', '头痛', '热毒', '耳内虚鸣', '偏正头风', '产后', '妊娠', '月经不调', '中风', '疼痛', '伤寒']"
麻木,"['月经不调', '饮食不下', '带下', '干呕', '月经不通', '痈', '作痛', '半身不遂', '腰腿疼痛', '产后', '寒热', '赤白带下', '咳嗽', '疼痛', '不止']"
交骨不开,"['难产', '肚腹痛', '流产', '腹内', '腰腿痠疼', '产门', '胎气有伤', '横逆', '产后', '月经不通', '动胎', '咳嗽', '月经过多', '不育', '不止']"
心胸烦躁,"['饮食不下', '干呕', '产后', '口干', '伤寒', '头痛', '中风', '身疼', '血晕', '胸中胀满', '产后气虚', '恍惚', '言语不得', '风邪', '烦渴']"
腰脚疼,"['血风劳', '产后', '头痛', '寒邪', '感冒', '左瘫右痪', '饮食不下', '头目眩晕', '热毒', '多睡', '风湿脚气', '流注', '诸风瘫痪', '湿痹', '血气攻注']"
多怒,"['妊娠', '口干', '眩晕', '心神多躁', '口苦', '胁胀', '产后', '肚腹痛', '咳嗽', '胸中胀满', '气滞', '作痛', '气逆', '脉弦数', '风邪']"
精冷,"['赤白带下', '不育', '小便浊败', '阴中冷', '月经不调', '耳内虚鸣', '痿弱', '咳嗽', '眩晕', '精滑', '下元不固', '产后', '饮食不下', '干呕', '痢不止']"
客热,"['饮食不下', '口干', '疼痛', '心神多躁', '烦愦', '口烂', '头痛', '多倦', '肢体怠情', '盗汗', '四肢急掣', '面色发红', '四肢烦倦', '眼赤', '口臭']"
虚肿,"['产后', '血风劳', '生疮', '水肿', '干呕', '月经不通', '头痛', '咳嗽', '带下', '不止', '血崩', '热毒', '背项强直', '风湿脚气', '赤白痢']"
肿毒,"['痈', '疖', '月经不调', '疟', '乳痈', '瘰疬', '咳嗽', '痢不止', '伤寒', '痞积', '小儿惊痫', '痈疽发背', '肚腹痛', '疼痛', '身疼']"
中满,"['干呕', '饮食不下', '妊娠呕恶冲逆', '产后', '月经不通', '寒热', '口干', '伤寒', '头目眩晕', '渐渐羸瘦', '结生瘕聚', '痰饮', '自汗', '不调', '四肢逆冷']"
减食,"['口干', '面色发红', '肌体羸瘦', '盗汗', '潮热', '心热', '干呕', '月经不调', '咳嗽', '头目眩晕', '多倦', '四肢烦疼', '多睡', '产后', '饮食不下']"
噎塞,"['饮食不下', '干呕', '胸膈', '脾胃不和', '霍乱', '吞酸', '不和', '头目眩晕', '痰饮', '噫气', '恶心', '口苦', '攻刺', '两胁膈胀', '产后']"
宿食不消,"['结生瘕聚', '饮食不下', '干呕', '寒热', '咳嗽', '疟', '痔漏', '肚腹痛', '赤白带下', '痢不止', '伤寒', '妇人血气', '五劳', '疮疥', '冷气']"
憎寒壮热,"['头痛', '妊娠', '饮食不下', '咳嗽', '伤寒', '干呕', '疟', '产后', '口干', '眩晕', '头目眩晕', '寒邪', '五劳', '面无色', '气膈']"
痛痒,"['疮疥', '疟', '偏正头风', '干呕', '口干', '涩', '结生瘕聚', '痈', '耳内虚鸣', '口苦', '疳', '不睡', '水肿', '痈疽发背', '五淋']"
顽痹,"['中风', '产后', '干呕', '结生瘕聚', '饮食不下', '毒气冲心', '上气', '手足厥寒', '偏枯', '九种心痛', '水病', '肚腹痛', '月经不通', '咳嗽', '肌体羸瘦']"
风痹,"['手足不遂', '四肢急掣', '疼痛', '不止', '身疼', '言语謇涩', '小便利数', '四肢拘挛', '饮食不下', '寒热', '头痛', '咳嗽', '带下', '头目眩晕', '血风劳']"
妊娠咳嗽,"['不止', '饮食不下', '动胎', '喘促', '寒邪', '气急', '痰盛', '子嗽', '干呕', '遍身壮热', '寒热', '眩晕', '心神多躁', '渐渐羸瘦', '烦愦']"
妊娠心痛,"['饮食不下', '干呕', '动胎', '痰饮', '胸中胀满', '肚腹痛', '月经过多', '烦愦', '寒邪', '冲任不固', '堕胎', '胀满', '食积', '举体沉重', '咽膈不利']"
