聚类,数字,数量,id
"['饮食不下', '头目眩晕']","[2, 23]",93,"[20625, 19706, 30194, 20023, 76964, 37640, 82613, 19714, 19846, 31864, 55011, 59896, 63715, 64551, 3355, 16608, 38432, 38484, 63252, 3499, 11486, 19704, 33884, 35268, 37668, 38440, 39342, 25817, 54276, 55030, 65138, 19898, 20037, 37660, 37716, 39201, 53768, 65136, 82954, 3507, 11501, 11609, 14954, 14969, 19718, 19840, 19895, 23079, 27122, 53116, 63449, 63625, 65276, 78898, 78900, 79744, 7063, 11500, 19722, 22980, 27121, 32243, 34164, 53121, 57514, 62702, 5257, 20042, 23012, 55292, 56462, 11625, 16293, 20004, 22614, 22884, 32402, 39305, 53525, 80933, 29641, 39138, 3497, 11479, 19710, 33223, 53610, 20047, 32848, 32462, 65127, 3319, 25874]"
"['痈', '痈疽发背']","[73, 228]",20,"[55797, 31694, 56207, 66744, 29580, 27198, 57790, 68706, 14448, 23742, 29287, 58146, 68702, 57300, 63654, 20939, 61793, 52658, 58149, 23769]"
"['脑痛如破', '髓海空虚']","[2285, 2398]",1,[55960]
"['结毒', '肿硬']","[728, 747]",3,"[10245, 11856, 62045]"
"['产后气短', '寒热如疟']","[144, 300]",8,"[3628, 11486, 11046, 26920, 32649, 4364, 72240, 72721]"
"['肌体羸瘦', '面色黄青']","[22, 52]",24,"[38523, 35304, 51352, 13934, 19712, 20005, 38475, 38499, 38457, 38514, 38725, 43818, 39335, 11625, 31932, 75668, 82252, 11479, 14538, 38414, 29684, 68379, 24693, 32538]"
"['衄血', '咳血']","[227, 323]",5,"[31914, 63622, 13898, 32252, 31822]"
"['饮食不下', '肢节无力']","[2, 43]",90,"[1953, 83828, 15808, 3534, 43660, 53753, 35287, 38495, 33681, 38455, 35326, 38403, 38480, 65156, 11485, 16606, 35292, 38421, 38506, 38539, 7119, 34164, 34188, 35313, 35325, 38461, 38485, 38618, 38898, 39063, 39201, 39403, 55030, 68127, 3564, 14954, 32025, 33844, 38528, 38609, 38822, 39402, 3507, 11555, 23185, 38647, 38655, 39059, 39269, 39432, 82942, 35262, 35318, 38638, 39239, 39296, 39322, 63449, 70130, 70224, 19869, 35314, 38657, 39088, 76633, 16332, 38546, 53179, 53573, 53674, 82252, 3497, 19859, 31246, 38610, 39053, 39255, 39426, 51326, 53800, 72983, 38556, 44984, 67759, 80581, 27126, 38579, 27048, 16310, 81450]"
"['遍身壮热', '伤寒']","[7, 18]",67,"[20569, 5450, 62354, 5816, 29454, 29465, 20490, 55812, 71759, 4410, 56247, 3206, 51081, 3250, 32243, 51065, 51086, 81975, 82098, 17641, 33224, 38577, 39140, 44199, 77303, 77338, 1682, 8262, 19498, 33216, 33223, 38584, 39217, 77187, 3584, 19710, 19754, 27109, 58781, 62648, 77157, 77164, 77165, 77169, 4467, 12980, 16739, 33171, 53361, 77275, 14776, 15080, 19684, 33187, 39373, 59689, 78032, 15072, 23214, 30213, 32192, 1853, 55824, 63700, 78221, 61766, 82267]"
"['口干', '口苦']","[14, 123]",50,"[1953, 83828, 14364, 29844, 32771, 16606, 19846, 6094, 53115, 53527, 63690, 4330, 80586, 6359, 19895, 20037, 25834, 77256, 63625, 17253, 22849, 53173, 63807, 80839, 3508, 22614, 66440, 11479, 11966, 22924, 23175, 33223, 53179, 80838, 80955, 19710, 75668, 80856, 20118, 24609, 25874, 39121, 71264, 19721, 24693, 64695, 80935, 20082, 38522, 81476]"
"['气淋', '劳淋']","[1020, 1301]",2,"[38688, 38706]"
"['产道干涩', '萎顿']","[1073, 1922]",1,[7082]
"['腰痛下血', '精血攻冲']","[1050, 2251]",1,[55903]
"['疼痛', '血风劳']","[16, 26]",21,"[60479, 38479, 38484, 18055, 38409, 20486, 53192, 16564, 37637, 37651, 53143, 20087, 37702, 76947, 25231, 32595, 53162, 69243, 25874, 53120, 43441]"
"['松悸不定', '精神恍惚不主']","[2100, 2246]",1,[8887]
"['乳痈', '痈疽发背']","[125, 228]",11,"[68706, 27198, 56358, 57785, 6958, 27195, 23770, 52658, 23765, 68085, 23769]"
"['月经过多', '血崩']","[17, 27]",24,"[80570, 4123, 55982, 5450, 19731, 30131, 7106, 23180, 25817, 65152, 19725, 30166, 30315, 69395, 64950, 39089, 62315, 62834, 39047, 39048, 39097, 16565, 32125, 79542]"
"['皮聚', '心肺俱损']","[1314, 1604]",1,[76779]
"['喘促', '大小便不通']","[37, 40]",19,"[37747, 37712, 37788, 66744, 37690, 13410, 33415, 37711, 39158, 39254, 67776, 11586, 37670, 73744, 33224, 43490, 29420, 32744, 43499]"
"['患疟', '素虚']","[663, 990]",2,"[22004, 55976]"
"['吞酸', '噫气']","[170, 587]",12,"[76814, 19837, 65288, 19846, 19870, 19833, 19895, 19873, 19882, 24433, 32538, 19844]"
"['寒热', '肌体羸瘦']","[8, 22]",38,"[18585, 13938, 19706, 6757, 35315, 51376, 16606, 26690, 35323, 38442, 38515, 38854, 79413, 5143, 51382, 4274, 34112, 38501, 38808, 19720, 25834, 38406, 38411, 39335, 53143, 19725, 64966, 38602, 14538, 15605, 27055, 38679, 25874, 27048, 28271, 32538, 64965, 25878]"
"['胞干', '血冲上昏闷']","[977, 1472]",1,[642]
"['肠胃多痰', '血闭带下']","[1667, 1866]",1,[22934]
"['关窍不固', '房事过度']","[1973, 2071]",1,[12762]
"['居处失宜', '偶然顿仆']","[1435, 1446]",2,"[7089, 11567]"
"['头痛', '头目眩晕']","[9, 23]",47,"[76964, 20095, 82940, 13926, 23076, 31955, 65339, 24975, 52366, 57749, 5348, 75633, 34131, 65276, 79744, 7063, 34040, 37724, 20117, 23079, 51069, 23012, 33224, 51057, 51071, 20076, 29641, 51087, 51418, 3584, 19710, 19811, 32243, 33223, 72978, 76916, 20118, 22837, 37745, 29990, 11360, 20082, 55788, 72721, 134, 10538, 33233]"
"['胎风', '搐搦']","[214, 526]",4,"[35138, 35190, 35232, 51743]"
"['赤白带下', '不育']","[10, 20]",47,"[1953, 30194, 20023, 31439, 25866, 13892, 19716, 55017, 13907, 20005, 33760, 55513, 28775, 69002, 69025, 83766, 11455, 14554, 31813, 82933, 83832, 1981, 1616, 14954, 55462, 72310, 15145, 17904, 76200, 33865, 33879, 55506, 55750, 63248, 71776, 70224, 3526, 63249, 65524, 72802, 65127, 20040, 31935, 60162, 65111, 66811, 13937]"
"['月经过多', '胎漏']","[17, 87]",35,"[55982, 16851, 13911, 53555, 80927, 7106, 53575, 4163, 12976, 56128, 53601, 54326, 56083, 80889, 83273, 39246, 53553, 53587, 81478, 21178, 26681, 80926, 31733, 53586, 55718, 595, 39260, 53560, 53598, 68069, 78906, 80919, 13921, 26974, 67762]"
"['疮疥', '瘰疬']","[89, 232]",13,"[29580, 66744, 52168, 72285, 30534, 68698, 68702, 33939, 70489, 33223, 16900, 30881, 57328]"
"['动胎', '不止']","[11, 25]",16,"[16341, 5140, 66523, 66524, 11576, 12977, 28830, 39308, 39318, 4885, 38967, 39298, 39302, 3501, 78221, 60555]"
"['痰饮', '壅盛']","[47, 368]",22,"[82892, 33861, 17983, 43803, 65276, 79744, 7063, 55918, 55883, 71351, 51369, 57752, 76091, 60774, 68698, 80906, 18933, 28090, 76001, 20074, 3989, 19231]"
"['产后', '饮食不下']","[0, 2]",153,"[13938, 69101, 19706, 30194, 30424, 32163, 30149, 16341, 16566, 55933, 38523, 76964, 12912, 34351, 80570, 21306, 14491, 30155, 35304, 35323, 35326, 51352, 11485, 16606, 20490, 35254, 51376, 59896, 4417, 11480, 11486, 25817, 30143, 34122, 35248, 35312, 38539, 56247, 58696, 58877, 51382, 34112, 34188, 35269, 35291, 35324, 35325, 38528, 38574, 51364, 55974, 66225, 11609, 19725, 27001, 38637, 38822, 55970, 65276, 66520, 79744, 7063, 27082, 30506, 32868, 38651, 38813, 38869, 38941, 65152, 78918, 5257, 12309, 12332, 14829, 19541, 22911, 34185, 35262, 35271, 35318, 55728, 56047, 56059, 58693, 11243, 29636, 29659, 30166, 35314, 38544, 51283, 51321, 55924, 55942, 11021, 12698, 15076, 24763, 26946, 27078, 28393, 35282, 51258, 51307, 51436, 56071, 82766, 19710, 24609, 34161, 38579, 38910, 51326, 51328, 81541, 29593, 30416, 51050, 55954, 57570, 59281, 70837, 72983, 76647, 10171, 17686, 17706, 19994, 26963, 32080, 32635, 38911, 50973, 51348, 51402, 56693, 23163, 27048, 32232, 38560, 50984, 51338, 10322, 11469, 17685, 57332, 63700, 10464, 29237, 30407, 80555, 30406]"
"['脾积气', '脾劳']","[878, 1161]",2,"[19859, 72983]"
"['大寒', '白带腥臭']","[897, 1067]",2,"[20330, 71858]"
"['肉烂', '皮损']","[1448, 1562]",1,[73005]
"['干呕', '痢不止']","[3, 15]",70,"[30928, 5818, 20625, 32163, 59547, 22782, 30194, 5140, 16341, 67674, 27835, 17824, 55812, 3299, 20005, 60334, 82613, 45201, 46118, 82807, 14491, 11455, 13410, 19841, 15005, 19883, 19892, 32743, 43818, 68127, 350, 33844, 67647, 12306, 19871, 19893, 21459, 32868, 12332, 19962, 33219, 68714, 1800, 19388, 19865, 20028, 33216, 62648, 80033, 19947, 33202, 54338, 32538, 33184, 76647, 1700, 13164, 19231, 24693, 62739, 63675, 68379, 75047, 79206, 13409, 32234, 80954, 10322, 11444, 80555]"
"['妊娠', '干呕']","[1, 3]",101,"[20625, 82613, 4249, 4295, 4300, 39165, 53681, 13268, 19718, 26645, 53651, 78896, 78898, 78900, 84164, 15589, 26970, 29221, 29432, 38952, 39156, 66486, 82913, 17144, 17913, 22980, 39157, 39204, 39211, 39269, 53392, 62838, 66505, 3980, 15569, 39167, 39264, 39277, 39279, 39314, 53395, 53410, 53646, 67776, 1800, 12966, 17154, 26975, 32739, 33224, 39138, 53630, 53674, 66438, 66733, 80844, 80877, 80950, 17919, 23209, 38956, 39173, 39176, 39224, 39231, 39274, 53370, 62648, 76170, 80951, 10167, 11378, 11562, 17622, 23211, 27044, 33155, 33184, 39205, 4104, 9054, 11385, 18979, 33958, 50852, 53372, 53411, 53671, 62739, 68379, 79206, 1700, 11550, 18934, 39015, 54776, 18931, 50856, 78221, 17140, 70927]"
"['饮食不下', '寒热']","[2, 8]",110,"[13938, 20625, 19706, 30194, 55933, 19711, 83248, 16341, 55024, 14491, 33681, 35315, 18027, 19714, 23064, 35323, 38439, 16352, 16568, 16606, 38484, 38503, 51376, 65156, 11503, 15169, 25817, 26700, 38440, 38442, 38854, 39754, 53115, 59896, 66225, 66549, 78869, 78912, 5143, 19704, 19720, 23189, 29999, 38515, 51382, 3512, 4290, 20037, 23038, 26921, 34112, 35313, 38430, 38808, 38872, 53143, 63807, 15621, 19725, 23079, 30156, 33853, 38411, 39372, 53777, 63449, 66558, 27121, 29221, 38837, 54997, 5257, 17923, 23012, 55292, 62702, 70224, 22614, 32402, 38556, 39325, 20028, 29641, 33223, 43924, 53759, 69913, 16301, 27126, 51338, 53124, 72983, 16739, 53153, 76647, 11559, 15078, 19231, 19994, 34319, 38679, 59281, 25874, 26662, 27048, 27882, 28271, 32192, 76644, 63700]"
"['下痢', '脓血']","[180, 255]",7,"[23600, 76617, 16487, 58163, 69642, 19775, 79874]"
"['精冲血管', '贪欢交感']","[2242, 2357]",1,[2950]
"['干呕', '眩晕']","[3, 21]",71,"[20089, 20083, 29580, 45201, 19716, 16606, 33681, 66549, 16601, 32483, 29150, 29248, 39165, 19718, 23037, 39259, 64976, 66558, 78898, 78900, 4455, 13268, 17143, 17144, 22980, 26970, 29432, 38952, 70814, 82866, 19327, 20087, 30652, 32868, 53557, 56099, 75346, 80945, 6334, 64047, 15630, 16313, 20028, 23155, 24609, 53563, 53573, 53609, 53785, 56028, 22842, 23202, 53153, 53370, 53558, 29433, 34218, 68090, 80951, 9594, 11385, 19994, 23211, 61766, 22825, 78221, 73693, 80555, 10811, 36924, 70927]"
"['肝气郁结', '色紫']","[605, 748]",2,"[80957, 81452]"
"['渐渐羸瘦', '四肢烦疼']","[33, 63]",20,"[65155, 38444, 38447, 82411, 38511, 35247, 53527, 30187, 38473, 35265, 38429, 38856, 53557, 17131, 55748, 38827, 38459, 16357, 39076, 63675]"
"['结毒', '流血不止']","[728, 830]",3,"[10245, 11856, 62045]"
"['腹内壅塞', '疾恶']","[1720, 2193]",1,[37649]
"['下痢', '里急后重']","[180, 351]",5,"[23600, 76617, 14802, 4080, 19775]"
"['咳嗽', '喘促']","[12, 37]",57,"[20551, 55933, 56207, 66744, 72312, 80617, 83766, 4272, 24765, 63619, 4364, 7570, 13410, 20176, 76004, 11501, 38520, 55974, 4137, 11500, 39225, 5257, 11327, 20076, 38537, 39135, 76001, 83267, 2851, 12986, 51440, 51442, 68698, 78967, 3584, 8262, 31869, 73744, 78505, 33224, 39210, 63635, 69707, 15115, 51343, 60774, 67445, 70734, 77163, 11499, 21397, 39193, 62625, 28101, 81555, 17101, 10464]"
"['翳膜', '拳毛倒睫']","[522, 1236]",3,"[23467, 25231, 29032]"
"['丹疹', '斑']","[216, 343]",6,"[5816, 31723, 74391, 63647, 31810, 33233]"
"['胯痛', '臀酸痛']","[1086, 1765]",1,[4363]
"['死胎不出', '横生逆产']","[275, 288]",5,"[8643, 23077, 55979, 69491, 82674]"
"['偏枯', '手足不遂']","[264, 272]",5,"[51104, 53139, 29150, 51058, 44591]"
"['痈疽发背', '疔疮']","[228, 498]",9,"[56207, 66744, 14448, 23742, 27195, 56358, 65263, 63884, 71837]"
"['吐泻', '手足厥寒']","[114, 219]",14,"[32163, 20023, 67880, 4312, 4413, 20042, 60819, 44550, 56065, 59714, 80567, 75047, 411, 23605]"
"['四肢肿', '头面肿满']","[136, 149]",15,"[38941, 37748, 38866, 59721, 12828, 12974, 32062, 37670, 51440, 4138, 78935, 80860, 4467, 38812, 28005]"
"['妊娠', '肚腹痛']","[1, 4]",86,"[1102, 31469, 26913, 31175, 31276, 20912, 4335, 29218, 55913, 62734, 29432, 38952, 11196, 29221, 39183, 39200, 39297, 53581, 53583, 53668, 11374, 16383, 29234, 39256, 39283, 53633, 55340, 55912, 64977, 66475, 722, 3980, 80946, 3945, 4005, 11493, 12995, 14812, 39228, 53571, 53664, 61696, 65151, 66494, 77166, 80873, 2860, 9050, 26905, 39105, 39182, 39206, 39288, 39319, 39324, 80593, 3425, 8885, 11554, 19326, 21178, 22986, 32737, 32738, 39270, 39292, 39298, 39300, 56009, 58671, 68379, 70810, 70813, 80882, 4660, 39119, 39205, 9062, 26679, 38965, 39106, 39120, 78221, 39243, 70233, 38982]"
"['身如角弓反张', '子痫']","[168, 394]",5,"[12765, 17142, 67543, 77333, 3989]"
"['气息急', '血露不绝']","[2121, 2345]",1,[10172]
"['饮食不下', '干呕']","[2, 3]",249,"[83828, 20625, 69101, 32163, 31886, 30194, 15808, 24451, 29580, 15893, 38424, 12912, 16341, 38494, 3299, 21306, 27866, 55024, 60334, 3369, 14491, 20005, 77185, 82613, 16601, 33681, 46118, 65154, 82807, 19714, 19841, 19846, 23064, 30155, 31864, 71057, 80357, 16606, 19837, 20490, 38478, 58854, 76573, 80361, 25817, 32483, 37668, 38506, 65288, 66549, 78869, 350, 19898, 23189, 27790, 53681, 65138, 66225, 17060, 19840, 19883, 19892, 19895, 23029, 23037, 29150, 29248, 32743, 38446, 38461, 38474, 38618, 39165, 67679, 68127, 13268, 19718, 19833, 19870, 23079, 26645, 26697, 32846, 33844, 37716, 38563, 38604, 53528, 53651, 53829, 55970, 60252, 64976, 65276, 66558, 78898, 78900, 79744, 7063, 14790, 17143, 19871, 19893, 22908, 22980, 29221, 31120, 32868, 38651, 38655, 39269, 43924, 53564, 53785, 54997, 59703, 64995, 66486, 82866, 11243, 12332, 15569, 17913, 19541, 22911, 23012, 39211, 53557, 56099, 58693, 62838, 66505, 7169, 11625, 16293, 19858, 19862, 19869, 29636, 38580, 39167, 39305, 51283, 51307, 51321, 53395, 53410, 53675, 55924, 55942, 56028, 56124, 80844, 80950, 1800, 17624, 19388, 19865, 20004, 20028, 24609, 25811, 26975, 32755, 33223, 38612, 38956, 39138, 51258, 53153, 53196, 53493, 53563, 53573, 53609, 53674, 66438, 72983, 80913, 80952, 11437, 11560, 15616, 19827, 19859, 19947, 20047, 39173, 39176, 39231, 39272, 39458, 51326, 51328, 53610, 56025, 72749, 76158, 80951, 9594, 11265, 11378, 11562, 16301, 16739, 17622, 19231, 19524, 24433, 33184, 38649, 53566, 53570, 53572, 53643, 53671, 60563, 70837, 76647, 80954, 1700, 11559, 15078, 18931, 19842, 19844, 19857, 19994, 38596, 50973, 62739, 66910, 68379, 32192, 38632, 60853, 10322, 11444, 11469, 17685, 32232, 32853, 65111, 66388, 17140, 50879, 80555, 10811, 36924]"
"['侵损荣卫', '情欲相扰']","[1963, 2066]",1,[55903]
"['冲脉少藏', '经准不孕']","[1375, 2261]",1,[29243]
"['生产迟延', '血迷晕耗']","[1884, 2342]",1,[31257]
"['多睡', '四肢痠痛']","[104, 207]",15,"[68127, 30145, 33844, 39165, 6757, 13268, 39305, 53136, 53609, 9594, 30571, 64758, 60045, 4132, 20082]"
"['脉两尺沉涩', '硬而有块']","[1780, 2234]",1,[80949]
"['肥白', '月信准']","[1223, 2094]",1,[22970]
"['月经不通', '疼痛']","[5, 16]",27,"[20388, 55473, 76964, 38484, 56207, 62082, 38928, 53496, 38683, 38743, 53778, 1686, 2701, 67679, 80849, 11507, 53497, 2652, 39426, 72992, 33198, 38698, 19646, 60617, 28271, 32192, 38751]"
"['痰闭子宫', '肥白']","[689, 1223]",3,"[22970, 78981, 78971]"
"['产后恶露少', '虚无力']","[1296, 1534]",1,[38605]
"['胎燥萎', '心中急痛']","[649, 1640]",1,[53624]
"['产门', '交骨不开']","[432, 450]",2,"[11316, 12693]"
"['舌质淡', '舌苔花白']","[198, 238]",23,"[21039, 80861, 80867, 80869, 80928, 80929, 80942, 80946, 22668, 80844, 80849, 80843, 80862, 80872, 80934, 80945, 80845, 80860, 80937, 80879, 80922, 80902, 80940]"
"['肿硬', '流血不止']","[747, 830]",3,"[10245, 11856, 62045]"
"['口干', '心神多躁']","[14, 30]",41,"[20551, 16560, 38424, 38442, 62713, 38695, 11578, 12329, 18647, 39166, 55014, 17253, 17177, 18019, 45020, 55888, 56026, 56127, 33223, 69821, 75668, 80838, 11479, 25836, 35190, 38835, 80881, 80893, 19710, 80857, 80955, 13164, 24693, 34147, 38522, 39122, 59245, 81476, 6573, 82052, 67762]"
"['腮虚肿', '头皮光急']","[1828, 2024]",1,[34636]
"['肝郁化火', '经行乳胀']","[1660, 2410]",1,[10841]
"['如风鬼神', '登高而歌']","[2026, 2227]",1,[4444]
"['中风', '四肢急掣']","[13, 59]",45,"[1953, 37777, 30194, 67880, 39020, 37657, 53126, 5450, 39177, 53131, 37717, 37730, 37759, 37765, 39197, 37724, 38553, 53191, 29208, 38570, 38592, 39130, 37721, 38554, 79744, 26977, 38567, 38578, 39186, 51105, 62289, 20087, 37688, 53167, 38568, 51481, 53132, 51473, 53181, 51470, 53166, 51477, 199, 83280, 51492]"
"['不育', '五劳']","[20, 74]",16,"[1953, 1971, 30424, 30149, 54855, 14171, 29254, 38521, 59006, 73023, 33760, 11388, 83832, 13259, 69002, 66751]"
"['月经先期', '胁胀']","[294, 470]",3,"[8923, 14496, 80649]"
"['身如角弓反张', '失音不语']","[168, 625]",5,"[6535, 16305, 19730, 76946, 67833]"
"['乳上湿疮', '痛痒不休']","[1320, 2203]",1,[8754]
"['病温', '脉静身凉']","[2195, 2282]",1,[82203]
"['紫红色结节性皮疹', '舌薄']","[1563, 1852]",1,[80649]
"['胸胁疼', '心气疼痛']","[757, 953]",2,"[490, 79694]"
"['屡产', '生而不寿']","[1213, 1522]",2,"[56100, 56101]"
"['闷心欲绝', '心痛烦冤']","[1630, 1646]",1,[59163]
"['流产', '漏血不止']","[93, 117]",7,"[28775, 31276, 30928, 76573, 80593, 18917, 4129]"
"['产后', '恶露未尽']","[0, 44]",107,"[13938, 31885, 5140, 16341, 16566, 62354, 80570, 55516, 19731, 30155, 31786, 64952, 31698, 56247, 55478, 4370, 59896, 12045, 20034, 29690, 34205, 34159, 50941, 51468, 69802, 11271, 12047, 34169, 59723, 72342, 11392, 11460, 11540, 19450, 29594, 31767, 34149, 34185, 34218, 50963, 57490, 69149, 70007, 72270, 80961, 29615, 29616, 29619, 29692, 50989, 51505, 53463, 56037, 58707, 66536, 67488, 71880, 77403, 81541, 17726, 18364, 22842, 50957, 50959, 51462, 51487, 53423, 54308, 58683, 62835, 63814, 69880, 77867, 82921, 4025, 13511, 34150, 34171, 34175, 50943, 50956, 50973, 50982, 50988, 53457, 62684, 82766, 27075, 35273, 50935, 50969, 56693, 69830, 80870, 12316, 33419, 50984, 55254, 64991, 23151, 34220, 50978, 9449, 10177, 69843, 70927, 80555]"
"['脾泄不止', '口唇龈内皆白']","[1683, 1839]",1,[12828]
"['胞胎肥厚', '忧乐不常']","[1413, 2048]",1,[4282]
"['月经不调', '肌体羸瘦']","[6, 22]",47,"[1953, 83828, 12112, 13938, 31886, 19706, 33662, 53200, 1268, 16560, 13934, 19716, 1215, 35304, 17925, 19731, 38464, 38403, 1095, 14985, 12584, 13899, 19720, 31903, 38709, 38748, 55749, 13933, 16809, 20411, 19725, 31875, 57514, 80551, 20113, 38414, 39057, 56462, 53522, 11479, 27067, 75668, 14538, 19710, 25827, 4132, 60202]"
"['偏坠', '五淋七疝']","[582, 620]",3,"[72763, 69351, 71239]"
"['月经不通', '结生瘕聚']","[5, 35]",31,"[59547, 25866, 15893, 11455, 13410, 27119, 31786, 4476, 4449, 26688, 58475, 53501, 78918, 4289, 67679, 80849, 80945, 15909, 81541, 17721, 38714, 24308, 28062, 53547, 32538, 1464, 28271, 36577, 10736, 10464, 18919]"
"['头痛', '身疼']","[9, 32]",47,"[32163, 82940, 13926, 23076, 31955, 4274, 20490, 71759, 24975, 28642, 65339, 56247, 57749, 22824, 37687, 51112, 51081, 51090, 72288, 77890, 4365, 4946, 33855, 82098, 4140, 20115, 51101, 51340, 53379, 1682, 19855, 33224, 72978, 20076, 26995, 29592, 29699, 53401, 11021, 51113, 12742, 20118, 20082, 58741, 80944, 55788, 72572]"
"['渐渐羸瘦', '结生瘕聚']","[33, 35]",20,"[15808, 16560, 19711, 65155, 11634, 58854, 11455, 58475, 53527, 39372, 3564, 29770, 33844, 39396, 15909, 69282, 78918, 55028, 22842, 63675]"
"['痈疽发背', '瘰疬']","[228, 232]",9,"[55797, 29580, 52168, 66744, 27145, 68698, 68702, 27195, 57328]"
"['足下热', '额黑']","[967, 1080]",2,"[9289, 45368]"
"['肝郁化火', '颧红']","[1660, 1827]",1,[10841]
"['心神惊悸', '恍惚']","[76, 120]",14,"[4331, 37635, 37645, 65144, 22848, 4277, 22306, 29700, 29621, 30135, 51346, 8957, 51285, 16305]"
"['生不乳', '冻如葵汁']","[1322, 1426]",2,"[9348, 25871]"
"['唯喜干食', '大恶汤饮']","[2003, 2019]",1,[20342]
"['产门', '脓血淋漓']","[432, 1011]",3,"[10245, 11856, 62045]"
"['毛落', '心肺俱损']","[1443, 1604]",1,[76779]
"['热入血室', '经水忽来忽断']","[307, 363]",4,"[4442, 77303, 82148, 16739]"
"['腿膝', '闷喘']","[543, 831]",3,"[11588, 11589, 4322]"
"['腰痛下血', '病患相感']","[1050, 2194]",1,[55903]
"['吐血不止', '大便后下血']","[70, 164]",15,"[5818, 21310, 62303, 13898, 32402, 5236, 1257, 14496, 5825, 62732, 14596, 27749, 64537, 80555, 10459]"
"['月经后期', '脉沉而迟']","[231, 544]",4,"[80930, 80911, 80924, 80934]"
"['少腹胀满', '月事不']","[1171, 1267]",2,"[45067, 58534]"
"['屡产', '服气不安']","[1213, 2098]",1,[56100]
"['齿皆恶热饮', '唯喜干食']","[1855, 2003]",1,[20342]
"['久痢', '久疟']","[417, 560]",5,"[1855, 6764, 20043, 22668, 32755]"
"['产后', '中风']","[0, 13]",198,"[20679, 32163, 65351, 30194, 76964, 5140, 5450, 16341, 16566, 12912, 23181, 25866, 39020, 62354, 14491, 21306, 38629, 65328, 76946, 29454, 29465, 38607, 23177, 38583, 38641, 51054, 51104, 55513, 56123, 64986, 11455, 23075, 29685, 38569, 38635, 56247, 11530, 29605, 38540, 38553, 38589, 51051, 11222, 20486, 38555, 38597, 51053, 51095, 60488, 63690, 75633, 29208, 29597, 29679, 30425, 38536, 38570, 38582, 38592, 38598, 22936, 29625, 38554, 38578, 38588, 38590, 38594, 38608, 49067, 51105, 79744, 14833, 26977, 26983, 38567, 43405, 48393, 51074, 51099, 51464, 51507, 51525, 69809, 5257, 8957, 18928, 38550, 38552, 38625, 38634, 38643, 51088, 51097, 51473, 51490, 69887, 75465, 76190, 26979, 29165, 29645, 29659, 38568, 38599, 38615, 51091, 51481, 51508, 51517, 51518, 51522, 56061, 59696, 11254, 26985, 38636, 38994, 51058, 51461, 51479, 51494, 51501, 51524, 69871, 80567, 16305, 19533, 19730, 26988, 29646, 32590, 51075, 51093, 51109, 51470, 51497, 63675, 72279, 5106, 16985, 26990, 38633, 43441, 51477, 13341, 19052, 19994, 29695, 30413, 45281, 45916, 51482, 58703, 67833, 80944, 26981, 26987, 29623, 29669, 51062, 51513, 55023, 1696, 6353, 8706, 26980, 26984, 26989, 29622, 29664, 62081, 63578, 69888, 83280, 9042, 10538, 10665, 11564, 11565, 26986, 29638, 29680, 36949, 38617, 45963, 51108, 51492, 51493, 51516, 58711, 58712, 60866, 61766, 70927, 29612, 37196, 45970, 79007]"
"['昏迷不省', '牙关紧闭']","[77, 186]",12,"[17983, 33939, 66535, 5348, 19259, 29208, 56247, 80922, 11564, 11565, 19207, 80836]"
"['产后中气不足', '胸膈窒滞']","[1298, 1594]",1,[3892]
"['干呕', '寒热']","[3, 8]",60,"[16569, 20625, 3530, 30194, 25866, 16341, 55024, 82947, 33681, 23064, 64986, 11455, 14491, 16606, 25817, 13410, 19714, 66549, 78869, 23189, 66225, 23079, 66558, 12306, 29221, 29432, 38952, 54997, 82913, 23012, 67647, 69898, 21459, 33224, 57569, 63568, 20028, 33219, 33223, 14538, 15605, 16298, 43924, 16301, 16739, 28090, 53153, 72983, 76647, 15078, 19994, 29383, 53568, 11559, 13409, 32538, 75047, 19231, 32192, 78221]"
"['睡中呢喃', '视听言动虚妄']","[1454, 2350]",1,[55946]
"['结生瘕聚', '妇人血气']","[35, 71]",19,"[67682, 28112, 76814, 80357, 28239, 80361, 19850, 72119, 27790, 76672, 46395, 53514, 73692, 19830, 20054, 37222, 73693, 41934, 79005]"
"['胎衣不下', '堕胎']","[68, 96]",14,"[25866, 3530, 53223, 39018, 53211, 26952, 38986, 53219, 53232, 53228, 53231, 53207, 53216, 53205]"
"['月经后期', '色淡']","[231, 532]",4,"[80924, 13915, 80934, 80897]"
"['遍身壮热', '咳嗽']","[7, 12]",41,"[20551, 19695, 13902, 31722, 62354, 23099, 63619, 5702, 12570, 13898, 27124, 56247, 23007, 13920, 33861, 55007, 11263, 14809, 51081, 51086, 55755, 5257, 55292, 55957, 63895, 78974, 8262, 22614, 5454, 8730, 22921, 33224, 1848, 3584, 19497, 33223, 55988, 81555, 1853, 11613, 63700]"
"['吐血不止', '衄血']","[70, 227]",24,"[20551, 1348, 31914, 1041, 13898, 55910, 80962, 69664, 66498, 964, 19498, 31219, 19645, 1257, 4107, 11528, 31822, 1347, 6579, 62732, 64537, 9734, 50983, 26955]"
"['命门不禁', '液脱阳离']","[1999, 2155]",1,[11909]
"['气息欲绝', '冷汗']","[385, 616]",4,"[8947, 13260, 53626, 20042]"
"['舌苔花白', '脉沉而迟']","[238, 544]",6,"[80930, 80911, 80934, 80861, 80902, 80936]"
"['内劳无度', '液脱阳离']","[1974, 2155]",1,[11909]
